"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",7729088.7,4766124.5379123,10692052.8620877,0.5228
"conf.int",9315054.6,5728007.77480744,12902101.4251926,0.5228
"conf.int",8124409.7,5224262.52060201,11024556.879398,0.5228
"conf.int",4749386.73333333,2480766.33447971,7018007.13218696,0.5228
"conf.int",5922135.06666667,3620775.42703676,8223494.70629657,0.5228
"conf.int",7020549.46666667,4348213.17931749,9692885.75401584,0.5228
"conf.int",8141713.33333333,4612127.03530002,11671299.6313666,0.5228
"conf.int",8396993.5,5510700.22142534,11283286.7785747,0.5228
"conf.int",7419867.46666667,4709867.17705071,10129867.7562826,0.5228
"conf.int",7363435.33333333,4625543.12241125,10101327.5442554,0.5228
"conf.int",8342764.16666667,5113186.16686588,11572342.1664675,0.5228
"conf.int",6358983.8,3468618.47388631,9249349.12611369,0.5228
"conf.int",9292250.4,6562001.04590097,12022499.754099,0.5228
"conf.int",5592462.36666667,3838392.80206911,7346531.93126423,0.5228
"conf.int",7878429.86666667,4873895.76891223,10882963.9644211,0.5228
"conf.int",9400922.13333333,6292385.28905524,12509458.9776114,0.5228
"conf.int",7733074.23333333,4873364.09196304,10592784.3747036,0.5228
"conf.int",8567977.9,5288774.23487922,11847181.5651208,0.5228
"conf.int",7198064.53333333,4046972.27892391,10349156.7877428,0.5228
"conf.int",6773083.33333333,4589073.69307278,8957092.97359389,0.5228
"conf.int",6096113.4,3418953.00411669,8773273.79588331,0.5228
"conf.int",6199220,3774266.8301445,8624173.1698555,0.5228
"conf.int",6185747.7,3668887.47148459,8702607.92851541,0.5228
"conf.int",10025431.0333333,6332868.76836943,13717993.2982972,0.5228
"conf.int",8354546.93333333,5339706.04114583,11369387.8255208,0.5228
"conf.int",7436806.3,4826263.5185312,10047349.0814688,0.5228
"conf.int",7227433.2,4132481.59358407,10322384.8064159,0.5228
"conf.int",5912625.43333333,3828909.5954538,7996341.27121286,0.5228
"conf.int",9003359.86666667,5959552.3220551,12047167.4112782,0.5228
"conf.int",8179635.06666667,4853813.50990548,11505456.6234279,0.5228
"conf.int",5053183.3,2256094.99552303,7850271.60447697,0.5228
"conf.int",6724300.33333333,3954643.70822664,9493956.95844002,0.5228
"conf.int",7224124.06666667,4406171.61511617,10042076.5182172,0.5228
"conf.int",9585143.13333333,5931093.65398969,13239192.612677,0.5228
"conf.int",7623051.56666667,4874371.98288847,10371731.1504449,0.5228
"conf.int",7295312.26666667,3923095.38199641,10667529.1513369,0.5228
"conf.int",10172081.3333333,6954375.17053643,13389787.4961302,0.5228
"conf.int",7012599.16666667,4081109.32766423,9944089.00566911,0.5228
"conf.int",5795987.36666667,2923814.84296574,8668159.89036759,0.5228
"conf.int",8851950.36666667,5091982.091763,12611918.6415703,0.5228
"conf.int",8089416.26666667,4427317.08515534,11751515.448178,0.5228
"conf.int",8611264.53333333,5216911.65489895,12005617.4117677,0.5228
"conf.int",8324327,5732432.17969211,10916221.8203079,0.5228
"conf.int",10029890.8,7418575.05628717,12641206.5437128,0.5228
"conf.int",5709336.83333333,2746794.99876071,8671878.66790595,0.5228
"conf.int",10607821.1333333,7349580.7648877,13866061.501779,0.5228
"conf.int",7403606.23333333,4529909.66616243,10277302.8005042,0.5228
"conf.int",7693761.7,4613617.67086942,10773905.7291306,0.5228
"conf.int",7565745.8,4737179.69678128,10394311.9032187,0.5228
"conf.int",10230405.7333333,6796421.82678435,13664389.6398823,0.5228
"conf.int",10716147.9333333,7179727.16994229,14252568.6967244,0.5228
"conf.int",8131583.23333333,5342607.39145559,10920559.0752111,0.5228
"conf.int",5573138.83333333,3364765.01988983,7781512.64677684,0.5228
"conf.int",9312987.9,5496429.72647327,13129546.0735267,0.5228
"conf.int",8567160.33333333,5285212.59659075,11849108.0700759,0.5228
"conf.int",7374054.6,4457030.324094,10291078.875906,0.5228
"conf.int",8337027.93333333,5152579.08467,11521476.7819967,0.5228
"conf.int",9052134.5,5823201.84433663,12281067.1556634,0.5228
"conf.int",9494436.4,6108110.63565109,12880762.1643489,0.5228
"conf.int",10844876.5666667,7418809.82597644,14270943.3073569,0.5228
"conf.int",9289191.2,5452138.43027736,13126243.9697226,0.5228
"conf.int",9330380.26666667,5852339.39762872,12808421.1357046,0.5228
"conf.int",10523301.7,6611436.28288205,14435167.117118,0.5228
"conf.int",7296560.53333333,4888039.88707391,9705081.17959275,0.5228
"conf.int",8414250.4,5396891.9585373,11431608.8414627,0.5228
"conf.int",8505079.6,5548425.73367457,11461733.4663254,0.5228
"conf.int",6081818.6,3480560.87286123,8683076.32713877,0.5228
"conf.int",8229560.86666667,5200305.90616045,11258815.8271729,0.5228
"conf.int",8840001.96666667,5525056.75030196,12154947.1830314,0.5228
"conf.int",9251547.63333333,5944736.06033738,12558359.2063293,0.5228
"conf.int",7987436.2,5052733.51481788,10922138.8851821,0.5228
"conf.int",8827315.5,5418658.98295021,12235972.0170498,0.5228
"conf.int",9044474.76666667,6809966.5467767,11278982.9865566,0.5228
"conf.int",9774034.5,6297306.69243633,13250762.3075637,0.5228
"conf.int",4785828.63333333,2897898.78081226,6673758.48585441,0.5228
"conf.int",8979227.03333333,5956071.05231315,12002383.0143535,0.5228
"conf.int",8695871.1,5637763.99619711,11753978.2038029,0.5228
"conf.int",9286904.43333333,6075884.40567079,12497924.4609959,0.5228
"conf.int",8177576.76666667,5516061.33030454,10839092.2030288,0.5228
"conf.int",11854953.4666667,8731517.11158163,14978389.8217517,0.5228
"conf.int",7806318.9,4394166.51507596,11218471.284924,0.5228
"conf.int",6579839.83333333,4259261.65674127,8900418.0099254,0.5228
"conf.int",7978769.76666667,5066691.26396678,10890848.2693665,0.5228
"conf.int",5044872.83333333,3081383.16638857,7008362.5002781,0.5228
"conf.int",6648420.1,3549714.6163229,9747125.5836771,0.5228
"conf.int",8942606.16666667,5691538.81393012,12193673.5194032,0.5228
"conf.int",9468073.46666667,6390931.08993599,12545215.8433973,0.5228
"conf.int",7440750.9,4981112.35058967,9900389.44941033,0.5228
"conf.int",9808392.93333333,6628669.57397194,12988116.2926947,0.5228
"conf.int",6866323.86666667,3967274.12532893,9765373.60800441,0.5228
"conf.int",6862700.43333333,4130494.56306564,9594906.30360102,0.5228
"conf.int",7291535.06666667,4349177.82872171,10233892.3046116,0.5228
"conf.int",6681239.9,3718347.42976888,9644132.37023112,0.5228
"conf.int",8062947.2,4973578.26839428,11152316.1316057,0.5228
"conf.int",7514783.93333333,4547537.65840499,10482030.2082617,0.5228
"conf.int",8044751.53333333,4868380.29862588,11221122.7680408,0.5228
"conf.int",7329128.4,4644871.74187093,10013385.0581291,0.5228
"conf.int",7568496.96666667,4702814.3332392,10434179.6000941,0.5228
"conf.int",7421421.53333333,4354699.35715434,10488143.7095123,0.5228
"conf.int",7740563.3,4904502.90320369,10576623.6967963,0.5228
"conf.int",7688688,4537754.24773737,10839621.7522626,0.5228
"conf.int",6325870.86666667,3619695.79961969,9032045.93371364,0.5228
"conf.int",10300423.6666667,6890640.60461621,13710206.7287171,0.5228
"conf.int",8372425.53333333,4731588.63492709,12013262.4317396,0.5228
"conf.int",11004296.2333333,7412288.53025904,14596303.9364076,0.5228
"conf.int",5698164.2,3505049.48260627,7891278.91739373,0.5228
"conf.int",7373626.83333333,4314467.40013246,10432786.2665342,0.5228
"conf.int",8111855,4991581.682556,11232128.317444,0.5228
"conf.int",8650958.3,5414129.5491429,11887787.0508571,0.5228
"conf.int",9031662.33333333,5658584.29033442,12404740.3763322,0.5228
"conf.int",9154538.4,5913082.86928823,12395993.9307118,0.5228
"conf.int",8912185.06666667,4977875.764677,12846494.3686563,0.5228
"conf.int",8904597.36666667,5039217.49152866,12769977.2418047,0.5228
"conf.int",6586229.93333333,4121047.31774699,9051412.54891968,0.5228
"conf.int",6811059.56666667,4030254.38968246,9591864.74365087,0.5228
"conf.int",8952727.16666667,5252700.16679118,12652754.1665422,0.5228
"conf.int",6871080.1,4221451.71139319,9520708.48860681,0.5228
"conf.int",7566142.13333333,4312167.12785261,10820117.1388141,0.5228
"conf.int",5683837.66666667,3493693.49792272,7873981.83541062,0.5228
"conf.int",9125910.46666667,5238409.22302971,13013411.7103036,0.5228
"conf.int",6590239.56666667,3761379.1328728,9419100.00046053,0.5228
"conf.int",8935897.6,5467498.27272053,12404296.9272795,0.5228
"conf.int",8723744.66666667,5890927.11147388,11556562.2218595,0.5228
"conf.int",6303675.16666667,3747092.21959475,8860258.11373858,0.5228
"conf.int",9045744.1,6201940.6034679,11889547.5965321,0.5228
"conf.int",5411305.4,2787636.68630666,8034974.11369334,0.5228
"conf.int",7899048.56666667,5570789.41210545,10227307.7212279,0.5228
"conf.int",6974465.53333333,4485128.19413777,9463802.8725289,0.5228
"conf.int",7473597.43333333,4738038.94041849,10209155.9262482,0.5228
"conf.int",6431556.46666667,3447343.17267545,9415769.76065789,0.5228
"conf.int",6568446.4,3914425.91650049,9222466.88349951,0.5228
"conf.int",9831542.93333333,6687160.23430815,12975925.6323585,0.5228
"conf.int",5901526.63333333,3676610.18948572,8126443.07718094,0.5228
"conf.int",9952619.13333333,6276586.38973812,13628651.8769285,0.5228
"conf.int",8141238.83333333,5547837.48219512,10734640.1844715,0.5228
"conf.int",7730832.1,5172627.68561692,10289036.5143831,0.5228
"conf.int",6081743.46666667,3612405.61909733,8551081.314236,0.5228
"conf.int",10164454.4333333,6511913.92510232,13816994.9415643,0.5228
"conf.int",7159437.6,4657984.19914031,9660891.00085969,0.5228
"conf.int",6754127.46666667,3968924.73671964,9539330.19661369,0.5228
"conf.int",6564503.9,3464524.28171979,9664483.51828021,0.5228
"conf.int",7917813.23333333,5520913.56063632,10314712.9060303,0.5228
"conf.int",11074180.0666667,8199559.58313381,13948800.5501995,0.5228
"conf.int",8106453.13333333,4900173.76196003,11312732.5047066,0.5228
"conf.int",7842610.86666667,4977507.07826739,10707714.6550659,0.5228
"conf.int",8597674.53333333,5378918.19403236,11816430.8726343,0.5228
"conf.int",10309516.5,6685309.40983242,13933723.5901676,0.5228
"conf.int",8005754.36666667,4646275.36627747,11365233.3670559,0.5228
"conf.int",5626424.7,3455428.28739018,7797421.11260982,0.5228
"conf.int",7863267.9,4686075.07761211,11040460.7223879,0.5228
"conf.int",9075473.1,5636750.72314822,12514195.4768518,0.5228
"conf.int",6040093.83333333,3649347.19352328,8430840.47314338,0.5228
"conf.int",8958114.76666667,5672402.51738114,12243827.0159522,0.5228
"conf.int",7688687.8,5026642.18076449,10350733.4192355,0.5228
"conf.int",5853122.66666667,3376946.61569078,8329298.71764255,0.5228
"conf.int",5990171.43333333,3397966.75944658,8582376.10722009,0.5228
"conf.int",7094477.06666667,4151030.03734091,10037924.0959924,0.5228
"conf.int",7829729.76666667,4281549.86741225,11377909.6659211,0.5228
"conf.int",7679234.66666667,4420012.93030693,10938456.4030264,0.5228
"conf.int",5850312.96666667,3917539.96584197,7783085.96749136,0.5228
"conf.int",8109772.83333333,4963382.14655545,11256163.5201112,0.5228
"conf.int",6095897.53333333,2905506.22512483,9286288.84154184,0.5228
"conf.int",7644376.7,4889377.34345379,10399376.0565462,0.5228
"conf.int",6750772,4149200.69222425,9352343.30777575,0.5228
"conf.int",8061912.7,5013221.95275704,11110603.447243,0.5228
"conf.int",9527597.46666667,5836862.15792019,13218332.7754131,0.5228
"conf.int",7443665.03333333,4578865.75393553,10308464.3127311,0.5228
"conf.int",6899782.1,4259204.17810042,9540360.02189958,0.5228
"conf.int",7861342.8,4718616.88638954,11004068.7136105,0.5228
"conf.int",12221038.6333333,7902891.73651955,16539185.5301471,0.5228
"conf.int",10616450.6,6942929.49802078,14289971.7019792,0.5228
"conf.int",9366285.13333333,6672724.76973358,12059845.4969331,0.5228
"conf.int",8026401.6,5064385.22175992,10988417.9782401,0.5228
"conf.int",6630591.16666667,4429223.12976161,8831959.20357173,0.5228
"conf.int",8505406.33333333,5249317.13983174,11761495.5268349,0.5228
"conf.int",9697325.23333333,6352526.50640967,13042123.960257,0.5228
"conf.int",9061549.53333333,5792734.36166394,12330364.7050027,0.5228
"conf.int",8817215.26666667,5610793.41915879,12023637.1141745,0.5228
"conf.int",7815020.9,4918592.59295472,10711449.2070453,0.5228
"conf.int",8700656.43333333,5550176.89886178,11851135.9678049,0.5228
"conf.int",5729422.26666667,3610497.12502786,7848347.40830547,0.5228
"conf.int",7165152.53333333,3953003.8046299,10377301.2620368,0.5228
"conf.int",8157681.7,4834717.3527971,11480646.0472029,0.5228
"conf.int",7666334.5,4508071.14082308,10824597.8591769,0.5228
"conf.int",8222377.83333333,5474124.02262331,10970631.6440434,0.5228
"conf.int",5540101.86666667,3616678.62107247,7463525.11226086,0.5228
"conf.int",6517829.86666667,3198321.39276827,9837338.34056506,0.5228
"conf.int",9814336.23333333,6306972.58646719,13321699.8801995,0.5228
"conf.int",11011011.8,8007163.24845589,14014860.3515441,0.5228
"conf.int",8892590.83333333,5411730.25480234,12373451.4118643,0.5228
"conf.int",5736559.96666667,3522048.33329223,7951071.60004111,0.5228
"conf.int",8407394,4509432.65916776,12305355.3408322,0.5228
"conf.int",9819783.23333333,6508215.91805669,13131350.54861,0.5228
"conf.int",9362359,5998381.68326673,12726336.3167333,0.5228
"conf.int",5180837.1,3004877.20060176,7356796.99939824,0.5228
"conf.int",8563024.13333333,5410701.15045489,11715347.1162118,0.5228
"conf.int",6923968.96666667,3766120.59363024,10081817.3397031,0.5228
"conf.int",6653813.16666667,3615442.84781861,9692183.48551472,0.5228
"conf.int",7610167.36666667,4603846.59045775,10616488.1428756,0.5228
"conf.int",6415531.8,3994456.91437432,8836606.68562568,0.5228
"conf.int",7354654.26666667,4049489.02765885,10659819.5056745,0.5228
"conf.int",7159252.7,4790704.64218906,9527800.75781094,0.5228
"conf.int",8593173.26666667,5168497.14021487,12017849.3931185,0.5228
"conf.int",6478898.06666667,3809245.5147662,9148550.61856713,0.5228
"conf.int",7001105.7,4232534.43542534,9769676.96457466,0.5228
"conf.int",7378393.86666667,4813453.34139902,9943334.39193431,0.5228
"conf.int",4797031.76666667,2762519.64560566,6831543.88772767,0.5228
"conf.int",9838121.6,6127780.45344333,13548462.7465567,0.5228
"conf.int",8459044.73333333,5323998.33032789,11594091.1363388,0.5228
"conf.int",6661953.1,3838710.76409499,9485195.43590501,0.5228
"conf.int",7875795.1,4747948.43916248,11003641.7608375,0.5228
"conf.int",7703528.13333333,4938246.61837285,10468809.6482938,0.5228
"conf.int",6565628.3,4151021.37870156,8980235.22129844,0.5228
"conf.int",7724349.03333333,4693777.39971496,10754920.6669517,0.5228
"conf.int",5194620.76666667,3109937.1194174,7279304.41391593,0.5228
"conf.int",8085835.26666667,4975073.21412683,11196597.3192065,0.5228
"conf.int",5911782.23333333,3582448.07271799,8241116.39394867,0.5228
"conf.int",6290920.93333333,3930766.12158558,8651075.74508109,0.5228
"conf.int",8735849.06666667,6087339.94954071,11384358.1837926,0.5228
"conf.int",9688718.86666667,5762478.4242799,13614959.3090534,0.5228
"conf.int",7390450.1,4172569.69222753,10608330.5077725,0.5228
"conf.int",6995045.2,4009217.04504636,9980873.35495364,0.5228
"conf.int",7699946.06666667,5104048.10695843,10295844.0263749,0.5228
"conf.int",8820850.43333333,5359676.74241211,12282024.1242546,0.5228
"conf.int",7237854.53333333,4805201.04689694,9670508.01976973,0.5228
"conf.int",9726347.2,6388236.65761357,13064457.7423864,0.5228
"conf.int",7651221.5,4661051.62726692,10641391.3727331,0.5228
"conf.int",8279254.96666667,5008899.54961149,11549610.3837218,0.5228
"conf.int",5486502.76666667,3467246.17116939,7505759.36216394,0.5228
"conf.int",5812323.4,3657045.07166757,7967601.72833243,0.5228
"conf.int",7097927.9,4087432.6633306,10108423.1366694,0.5228
"conf.int",10189583.1,6979828.05685598,13399338.143144,0.5228
"conf.int",6158157.4,4075440.18219479,8240874.61780521,0.5228
"conf.int",7572222.4,4858785.02396841,10285659.7760316,0.5228
"conf.int",6043791.93333333,3697100.20324241,8390483.66342426,0.5228
"conf.int",9748396.86666667,6396689.95363212,13100103.7797012,0.5228
"conf.int",6619250.73333333,4370946.20030368,8867555.26636299,0.5228
"conf.int",7232555.9,4414761.30598945,10050350.4940105,0.5228
"conf.int",8067939.1,4629711.32422476,11506166.8757752,0.5228
"conf.int",7437969.8,4309983.4913775,10565956.1086225,0.5228
"conf.int",8894022.93333333,5365140.4350432,12422905.4316235,0.5228
"conf.int",11133346.4666667,7524327.86206404,14742365.0712693,0.5228
"conf.int",6342571.3,4079254.86485427,8605887.73514573,0.5228
"conf.int",5840574.33333333,3448729.12268017,8232419.54398649,0.5228
"conf.int",7425134.06666667,4379225.0403848,10471043.0929485,0.5228
"conf.int",7565342.1,5056392.54895201,10074291.651048,0.5228
"conf.int",7706119.06666667,4521354.2124249,10890883.9209084,0.5228
"conf.int",10212486.7,6264754.32073823,14160219.0792618,0.5228
"conf.int",7805527.13333333,4628716.52640097,10982337.7402657,0.5228
"conf.int",8057384.3,5017019.40862286,11097749.1913771,0.5228
"conf.int",7821759.7,4558702.00198873,11084817.3980113,0.5228
"conf.int",4205486.43333333,2831325.87932885,5579646.98733782,0.5228
"conf.int",8194208.3,5398392.89933198,10990023.700668,0.5228
"conf.int",7903857.6,4543823.54966082,11263891.6503392,0.5228
"conf.int",7743785.13333333,4860584.54470335,10626985.7219633,0.5228
"conf.int",5370079.4,2795727.54185028,7944431.25814973,0.5228
"conf.int",8617822.83333333,5731493.18662795,11504152.4800387,0.5228
"conf.int",7936729.93333333,4822662.15488926,11050797.7117774,0.5228
"conf.int",8384976.1,5524624.60479612,11245327.5952039,0.5228
"conf.int",5254147.13333333,3071502.18434853,7436792.08231814,0.5228
"conf.int",8975173.13333333,5131846.90683407,12818499.3598326,0.5228
"conf.int",5882071.23333333,4057820.1220889,7706322.34457776,0.5228
"conf.int",8543594.7,5542652.56207023,11544536.8379298,0.5228
"conf.int",6500058.83333333,3889121.28974897,9110996.3769177,0.5228
"conf.int",7321350.03333333,4926537.34007295,9716162.72659372,0.5228
"conf.int",8316210.4,4847301.84924118,11785118.9507588,0.5228
"conf.int",6473677.9,3704245.1762037,9243110.6237963,0.5228
"conf.int",5830216.73333333,3627449.98740686,8032983.4792598,0.5228
"conf.int",6150779.63333333,3345374.99006481,8956184.27660186,0.5228
"conf.int",8557601.33333333,5110478.21930193,12004724.4473647,0.5228
"conf.int",5850210.9,3403178.39297999,8297243.40702001,0.5228
"conf.int",8045710.76666667,4733560.72662436,11357860.806709,0.5228
"conf.int",9241319.33333333,5897184.00108438,12585454.6655823,0.5228
"conf.int",7320166.63333333,4862254.58714136,9778078.67952531,0.5228
"conf.int",10912736.6333333,7218668.73492538,14606804.5317413,0.5228
"conf.int",9216624.33333333,5446466.3588526,12986782.3078141,0.5228
"conf.int",9091061.43333333,6107101.81317923,12075021.0534874,0.5228
"conf.int",7357012.86666667,4439014.83153323,10275010.9018001,0.5228
"conf.int",5388440.23333333,2446906.87394691,8329973.59271976,0.5228
"conf.int",8347699.5,5134188.26923802,11561210.730762,0.5228
"conf.int",6239454.66666667,4093155.86171527,8385753.47161807,0.5228
"conf.int",5581517.06666667,3556795.88383482,7606238.24949852,0.5228
"conf.int",6685353.83333333,3656782.92273986,9713924.74392681,0.5228
"conf.int",8212480.76666667,5271580.39226511,11153381.1410682,0.5228
"conf.int",7839337.4,5248854.05467943,10429820.7453206,0.5228
"conf.int",7240389.1,4537394.32850993,9943383.87149007,0.5228
"conf.int",8049884.63333333,4187589.95274489,11912179.3139218,0.5228
"conf.int",6720084.06666667,3794156.68884837,9646011.44448496,0.5228
"conf.int",8845702.96666667,5478071.86438713,12213334.0689462,0.5228
"conf.int",9793314.93333333,6548931.58842122,13037698.2782454,0.5228
"conf.int",6249823.1,3965834.95616048,8533811.24383952,0.5228
"conf.int",9194490.43333333,6202152.81364939,12186828.0530173,0.5228
"conf.int",7599350.6,4664482.97872054,10534218.2212795,0.5228
"conf.int",6632514.36666667,3435649.72646889,9829379.00686444,0.5228
"conf.int",8188973.83333333,4647567.30973888,11730380.3569278,0.5228
"conf.int",7925691.36666667,5506776.680887,10344606.0524463,0.5228
"conf.int",6542862.7,3829187.8952372,9256537.5047628,0.5228
"conf.int",6969299,3871711.51630394,10066886.4836961,0.5228
"conf.int",7112684.36666667,3835804.89431262,10389563.8390207,0.5228
"conf.int",7310582.13333333,4308810.3823471,10312353.8843196,0.5228
"conf.int",6386963.2,3905892.64055907,8868033.75944093,0.5228
"conf.int",8463404.53333333,4827083.55053426,12099725.5161324,0.5228
"conf.int",8116996.06666667,4592900.58905219,11641091.5442811,0.5228
"conf.int",8581985.26666667,5027008.78912243,12136961.7442109,0.5228
"conf.int",7884159.8,4946660.81690101,10821658.783099,0.5228
"conf.int",9489115.46666667,6717134.59482967,12261096.3385037,0.5228
"conf.int",6661944.33333333,3941311.27358789,9382577.39307878,0.5228
"conf.int",9019611.03333333,5832341.77915544,12206880.2875112,0.5228
"conf.int",7203122.6,3851578.91648124,10554666.2835188,0.5228
"conf.int",8846422.96666667,5771724.57150688,11921121.3618264,0.5228
"conf.int",10085822.4,6554167.42455069,13617477.3754493,0.5228
"conf.int",9837203.46666667,6046310.97948938,13628095.953844,0.5228
"conf.int",5595576.1,3580643.87605491,7610508.32394509,0.5228
"conf.int",10543648.2,7090672.89903435,13996623.5009657,0.5228
"conf.int",8966612.96666667,5904066.44325057,12029159.4900828,0.5228
"conf.int",9706022.1,6534748.94332618,12877295.2566738,0.5228
"conf.int",6142826.9,4267216.55085861,8018437.24914139,0.5228
"conf.int",10232483.4666667,6852967.33897707,13611999.5943563,0.5228
"conf.int",8272426,5519772.54579719,11025079.4542028,0.5228
"conf.int",7522707.5,5205012.29267319,9840402.70732681,0.5228
"conf.int",7984242.13333333,5215647.31419652,10752836.9524701,0.5228
"conf.int",7731581.56666667,4748087.07847808,10715076.0548553,0.5228
"conf.int",8354745.43333333,5527332.5020554,11182158.3646113,0.5228
"conf.int",7715062.06666667,5097049.04445003,10333075.0888833,0.5228
"conf.int",7581973.3,5025916.34181192,10138030.2581881,0.5228
"conf.int",7989895.5,4410143.52881481,11569647.4711852,0.5228
"conf.int",5494133.66666667,3664063.27051146,7324204.06282188,0.5228
"conf.int",7030401.16666667,4012891.05716099,10047911.2761723,0.5228
