"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",3744861.55,2191557.76313231,5298165.33686769,0.5324
"conf.int",4170662.15,2071405.18521355,6269919.11478645,0.5324
"conf.int",4248100.65,2098395.59758303,6397805.70241697,0.5324
"conf.int",2985402.15,1469102.00025356,4501702.29974644,0.5324
"conf.int",6184785.15,2645648.64556946,9723921.65443054,0.5324
"conf.int",5495903.45,3059746.12635683,7932060.77364317,0.5324
"conf.int",2843711,1382932.84793681,4304489.15206319,0.5324
"conf.int",3373131.9,1346805.22408236,5399458.57591764,0.5324
"conf.int",3362582.25,1627569.18859842,5097595.31140158,0.5324
"conf.int",3270354.5,1672427.01964015,4868281.98035985,0.5324
"conf.int",5128071,2858726.30659295,7397415.69340705,0.5324
"conf.int",4761876,2742035.40308224,6781716.59691776,0.5324
"conf.int",4071241.2,1848181.09804369,6294301.30195631,0.5324
"conf.int",4111235.55,1684074.47521945,6538396.62478055,0.5324
"conf.int",4662322.55,1381324.27628959,7943320.82371041,0.5324
"conf.int",4065946.85,2466309.19526517,5665584.50473483,0.5324
"conf.int",2839103.55,1349075.41265572,4329131.68734428,0.5324
"conf.int",3741655.05,1993194.6767428,5490115.4232572,0.5324
"conf.int",4072178.15,1943546.85754992,6200809.44245008,0.5324
"conf.int",3682914.5,1590597.6766944,5775231.3233056,0.5324
"conf.int",3688540.95,1364628.32671306,6012453.57328694,0.5324
"conf.int",3292558.15,1364952.38116989,5220163.91883011,0.5324
"conf.int",3518626.45,1602682.20961153,5434570.69038847,0.5324
"conf.int",2826731.8,1723074.99988713,3930388.60011287,0.5324
"conf.int",4947394.05,2817567.04168876,7077221.05831124,0.5324
"conf.int",4002980.8,2067792.55162984,5938169.04837016,0.5324
"conf.int",3475071.2,1410514.11511996,5539628.28488004,0.5324
"conf.int",3936530.25,2173218.62247788,5699841.87752212,0.5324
"conf.int",3675299.85,1831411.01739496,5519188.68260504,0.5324
"conf.int",3144569,869853.044926853,5419284.95507315,0.5324
"conf.int",4552313.8,2002954.27552411,7101673.32447589,0.5324
"conf.int",3923920.7,1890160.82318569,5957680.57681431,0.5324
"conf.int",4379609.85,1800282.65539285,6958937.04460715,0.5324
"conf.int",3007742.7,1235958.2876744,4779527.11232561,0.5324
"conf.int",4109091.55,2373159.55335206,5845023.54664794,0.5324
"conf.int",3444765.25,1988668.77152102,4900861.72847898,0.5324
"conf.int",4109316.95,1872517.62667732,6346116.27332268,0.5324
"conf.int",3159714.95,1302704.91765209,5016724.98234791,0.5324
"conf.int",4799958.35,2270939.71633656,7328976.98366344,0.5324
"conf.int",3467426.75,2122986.31825823,4811867.18174177,0.5324
"conf.int",6214893.4,3613247.42659008,8816539.37340992,0.5324
"conf.int",3976073.3,2199056.79707895,5753089.80292105,0.5324
"conf.int",5293987.4,2672703.32150629,7915271.47849371,0.5324
"conf.int",5425755.95,3270873.42574807,7580638.47425193,0.5324
"conf.int",2001501.5,1113406.68019842,2889596.31980158,0.5324
"conf.int",4096374,2664322.82819451,5528425.17180549,0.5324
"conf.int",5392058.05,2523450.14732721,8260665.95267279,0.5324
"conf.int",4137556,2018896.27287706,6256215.72712294,0.5324
"conf.int",4618798.65,2399891.4767515,6837705.8232485,0.5324
"conf.int",2296838.85,601210.761340536,3992466.93865946,0.5324
"conf.int",3115749.35,1132370.89761851,5099127.80238149,0.5324
"conf.int",2800962.75,1040226.22601514,4561699.27398486,0.5324
"conf.int",8029045.8,4276773.79683728,11781317.8031627,0.5324
"conf.int",6169269.8,2892127.68024904,9446411.91975096,0.5324
"conf.int",3409416.85,1617504.83533316,5201328.86466684,0.5324
"conf.int",3038341.95,824802.839715215,5251881.06028479,0.5324
"conf.int",5897905.2,3293547.06085346,8502263.33914654,0.5324
"conf.int",4102276.25,1267498.90973055,6937053.59026945,0.5324
"conf.int",4784899.3,2692596.4177658,6877202.1822342,0.5324
"conf.int",4274211.1,1908713.39136186,6639708.80863814,0.5324
"conf.int",5880154.95,3665966.04114684,8094343.85885317,0.5324
"conf.int",3001780.7,1321805.03618114,4681756.36381886,0.5324
"conf.int",4522433.95,2557636.85474405,6487231.04525595,0.5324
"conf.int",5248545.45,2619463.65732425,7877627.24267575,0.5324
"conf.int",2980454.5,1688425.90097571,4272483.09902429,0.5324
"conf.int",4273862.65,1678867.1078613,6868858.1921387,0.5324
"conf.int",5741285.4,2274386.67503907,9208184.12496093,0.5324
"conf.int",5489365.1,2996605.62677217,7982124.57322783,0.5324
"conf.int",4842962.7,2036248.89786833,7649676.50213167,0.5324
"conf.int",4621145.1,1909724.98333931,7332565.21666069,0.5324
"conf.int",3520961.2,1155763.91548361,5886158.48451639,0.5324
"conf.int",3541898.8,1166876.25212938,5916921.34787062,0.5324
"conf.int",4919581.95,2248698.54153093,7590465.35846907,0.5324
"conf.int",3958896.85,1939442.3670939,5978351.3329061,0.5324
"conf.int",3534941.1,1437342.79768506,5632539.40231494,0.5324
"conf.int",3632920.15,1304579.75796783,5961260.54203217,0.5324
"conf.int",5081507.85,2506455.71396018,7656559.98603982,0.5324
