"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",9830305.88,7059211.29649452,12601400.4635055,0.5146
"conf.int",5359009.48,3608856.44623469,7109162.51376531,0.5146
"conf.int",7265800.5,5278740.84616322,9252860.15383678,0.5146
"conf.int",9001142.44,6461240.43314964,11541044.4468504,0.5146
"conf.int",6776878.32,4901622.01623973,8652134.62376027,0.5146
"conf.int",8821774.2,6364556.46544616,11278991.9345538,0.5146
"conf.int",7775275.5,5706827.40122658,9843723.59877342,0.5146
"conf.int",7025721.12,5082546.82937953,8968895.41062048,0.5146
"conf.int",7642568.74,5375515.15056033,9909622.32943968,0.5146
"conf.int",8624098.12,6246366.1111206,11001830.1288794,0.5146
"conf.int",7261240.64,5178597.29544894,9343883.98455106,0.5146
"conf.int",5804972.04,4060178.75323299,7549765.32676701,0.5146
"conf.int",6727506.16,4778131.77447176,8676880.54552824,0.5146
"conf.int",9483349.6,6862673.05880308,12104026.1411969,0.5146
"conf.int",6605500.24,4782674.1961364,8428326.2838636,0.5146
"conf.int",7721212.4,5614477.84280791,9827946.95719209,0.5146
"conf.int",7109071.36,4847831.60940833,9370311.11059167,0.5146
"conf.int",6221300.1,4114009.47088086,8328590.72911914,0.5146
"conf.int",6945053.52,4932719.10515019,8957387.93484981,0.5146
"conf.int",8801196.66,6123802.87036562,11478590.4496344,0.5146
"conf.int",9233702.14,6578090.47541759,11889313.8045824,0.5146
"conf.int",6846294.14,4499215.97240127,9193372.30759873,0.5146
"conf.int",7154627.36,4739826.54795001,9569428.17205,0.5146
"conf.int",8587616.26,6033009.6657923,11142222.8542077,0.5146
"conf.int",9358121.54,7332867.14305483,11383375.9369452,0.5146
"conf.int",7272862.38,4938780.89208692,9606943.86791308,0.5146
"conf.int",8909088.94,6603678.55952094,11214499.3204791,0.5146
"conf.int",7322104.6,5066027.58820721,9578181.61179279,0.5146
"conf.int",8923081.12,6680802.58232269,11165359.6576773,0.5146
"conf.int",8353020.12,6007483.31931762,10698556.9206824,0.5146
"conf.int",9194908.14,6573424.03761369,11816392.2423863,0.5146
"conf.int",7462529.66,5172630.73162679,9752428.58837321,0.5146
"conf.int",8997410.84,6473990.19643001,11520831.48357,0.5146
"conf.int",8979580.68,6443031.51956443,11516129.8404356,0.5146
"conf.int",10419904.88,7602750.24305088,13237059.5169491,0.5146
"conf.int",8799268.02,6145323.56735473,11453212.4726453,0.5146
"conf.int",8933651.02,6401760.6200162,11465541.4199838,0.5146
"conf.int",6842662.64,4921456.69719014,8763868.58280986,0.5146
"conf.int",6872680.42,4947364.29454175,8797996.54545825,0.5146
"conf.int",8740630.82,6193411.74738945,11287849.8926105,0.5146
"conf.int",6740600.1,4844104.968062,8637095.231938,0.5146
"conf.int",10192436.12,7886935.13605871,12497937.1039413,0.5146
"conf.int",7917608.22,5600570.94099688,10234645.4990031,0.5146
"conf.int",7921744.46,5738224.91866811,10105264.0013319,0.5146
"conf.int",9765776.64,7333854.84216712,12197698.4378329,0.5146
"conf.int",9679230.2,7532675.77134816,11825784.6286518,0.5146
"conf.int",7417859.42,5074407.27292512,9761311.56707488,0.5146
"conf.int",6803679.14,4760763.98121435,8846594.29878565,0.5146
"conf.int",7433886,5125446.06018133,9742325.93981867,0.5146
"conf.int",8622769.66,6531366.07684831,10714173.2431517,0.5146
"conf.int",8186008.74,5850764.09402511,10521253.3859749,0.5146
"conf.int",8140261.16,5785606.51468836,10494915.8053116,0.5146
"conf.int",7424001.52,5242084.79881481,9605918.24118519,0.5146
"conf.int",6353559.56,4378544.74714866,8328574.37285134,0.5146
"conf.int",8461590.08,6019003.03054872,10904177.1294513,0.5146
"conf.int",7504015.2,5212386.39609416,9795644.00390584,0.5146
"conf.int",7451378.42,5156142.7709881,9746614.0690119,0.5146
"conf.int",7185878.72,5021622.70453346,9350134.73546653,0.5146
"conf.int",5699893.86,3831382.50426263,7568405.21573737,0.5146
"conf.int",9046182.84,6462563.68682597,11629801.993174,0.5146
"conf.int",8873538.02,6229151.71826865,11517924.3217313,0.5146
"conf.int",7225859.02,5016741.61426992,9434976.42573008,0.5146
"conf.int",7646209.96,5295114.20830026,9997305.71169974,0.5146
"conf.int",9480778.28,7022704.05705145,11938852.5029485,0.5146
"conf.int",8669100.6,5718220.5547941,11619980.6452059,0.5146
"conf.int",7045758.6,4669449.93510098,9422067.26489902,0.5146
"conf.int",8131065.24,5602148.00818142,10659982.4718186,0.5146
"conf.int",7136576.92,5020334.58177536,9252819.25822464,0.5146
"conf.int",6403093.04,4403106.21068862,8403079.86931137,0.5146
"conf.int",7567346.14,5020949.78882074,10113742.4911793,0.5146
"conf.int",8845835.18,6446403.64258719,11245266.7174128,0.5146
"conf.int",7787190.92,5598955.55961978,9975426.28038022,0.5146
"conf.int",6603738.92,4556557.5408683,8650920.2991317,0.5146
"conf.int",7768157.96,5954998.35960152,9581317.56039847,0.5146
"conf.int",6043235.66,4184011.21482489,7902460.10517511,0.5146
"conf.int",7947499.9,5382919.61332553,10512080.1866745,0.5146
"conf.int",7049596.04,5054623.03204504,9044569.04795496,0.5146
"conf.int",9462579.2,7029699.52503668,11895458.8749633,0.5146
"conf.int",6935206.84,4899204.85356768,8971208.82643232,0.5146
"conf.int",8464626,6039539.807847,10889712.192153,0.5146
"conf.int",7328376.34,5227336.7847585,9429415.8952415,0.5146
"conf.int",6994829.04,4880773.14137264,9108884.93862736,0.5146
"conf.int",8666196.12,6756516.75483852,10575875.4851615,0.5146
"conf.int",7888625.84,5714178.79547844,10063072.8845216,0.5146
"conf.int",10264490.62,7576123.94840267,12952857.2915973,0.5146
"conf.int",7087730.38,4826769.22899872,9348691.53100128,0.5146
"conf.int",7886780.66,5488287.70626052,10285273.6137395,0.5146
"conf.int",8114212.72,5752494.93020656,10475930.5097934,0.5146
"conf.int",8776627.88,6405925.91873015,11147329.8412698,0.5146
"conf.int",5472329.04,3612879.67250512,7331778.40749488,0.5146
"conf.int",7151538.74,4981566.02544153,9321511.45455847,0.5146
"conf.int",8173076.38,5456765.54307096,10889387.216929,0.5146
