name,city,state,region,highest_degree,control,gender,admission_rate,sat_avg,undergrads,tuition,faculty_salary_avg,loan_default_rate,median_debt,lon,lat
Southeastern University,Lakeland,FL,South,Graduate,Private,CoEd,0.4394,965,2946,22202,7174,65,22500,-81.9498042,28.0394654
Adventist University of Health Sciences,Orlando,FL,South,Graduate,Private,CoEd,1,928,1870,12430,6957,38,22702,-81.3792365,28.5383355
Northwood University-Florida,West Palm Beach,FL,South,Graduate,Private,CoEd,0.3979,919,669,23132,7211,88,22750,-80.0533746,26.7153424
Warner University,Lake Wales,FL,South,Graduate,Private,CoEd,0.26,863,1011,18966,4684,154,23250,-81.5859099,27.9014133
Flagler College-St Augustine,Saint Augustine,FL,South,Bachelor,Private,CoEd,0.4788,1058,2767,16180,6244,46,23677.5,-81.3124341,29.9012437
Palm Beach Atlantic University,West Palm Beach,FL,South,Graduate,Private,CoEd,0.9527,1071,2585,26274,7310,56,24750,-80.0533746,26.7153424
Florida Southern College,Lakeland,FL,South,Graduate,Private,CoEd,0.4481,1147,2352,29990,7316,69,24873,-81.9498042,28.0394654
Nova Southeastern University,Fort Lauderdale,FL,South,Graduate,Private,CoEd,0.4881,1143,4582,26700,9262,32,25250,-80.1373174,26.1224386
The University of Tampa,Tampa,FL,South,Graduate,Private,CoEd,0.5188,1094,6811,26330,8576,49,26000,-82.4571776,27.950575
Florida Institute of Technology,Melbourne,FL,South,Graduate,Private,CoEd,0.6157,1176,3348,37990,9111,123,26987.5,-80.6081089,28.0836269
Eckerd College,Saint Petersburg,FL,South,Bachelor,Private,CoEd,0.7274,1153,2062,38668,7144,69,27000,-82.6267345,27.7518284
Florida Agricultural and Mechanical University,Tallahassee,FL,South,Graduate,Public,CoEd,0.4895,948,7995,5785,8205,143,27750,-84.2807329,30.4382559
Barry University,Miami,FL,South,Graduate,Private,CoEd,0.4611,938,3913,28160,7503,51,28250,-80.1917902,25.7616798
Edward Waters College,Jacksonville,FL,South,Bachelor,Private,CoEd,0.5295,825,927,12525,4678,188,32550.5,-81.655651,30.3321838
Bethune-Cookman University,Daytona Beach,FL,South,Graduate,Private,CoEd,0.6371,803,3897,14410,6016,144,36250,-81.0228331,29.2108147
Augusta University,Augusta,GA,South,Graduate,Public,CoEd,0.7654,1030,5030,7326,7519,65,12350,-82.0105148,33.4734978
Andrew College,Cuthbert,GA,South,Associate,Private,CoEd,0.4631,798,295,14226,3511,167,12875,-84.7893658,31.7712748
University of North Georgia,Dahlonega,GA,South,Graduate,Public,CoEd,0.6948,1016,14976,4551,5566,93,15000,-83.9843953,34.5261465
Abraham Baldwin Agricultural College,Tifton,GA,South,Bachelor,Public,CoEd,0.7726,927,3244,3394,4936,159,15085.5,-83.5084973,31.4504629
College of Coastal Georgia,Brunswick,GA,South,Bachelor,Public,CoEd,0.9235,920,2833,4510,5712,177,16500,-81.4914894,31.1499528
Gordon State College,Barnesville,GA,South,Bachelor,Public,CoEd,0.4839,859,3864,3510,5250,142,16807.5,-84.1557495,33.0545709
University of Georgia,Athens,GA,South,Graduate,Public,CoEd,0.5572,1248,26738,10836,10169,29,19000,-83.357567,33.9519347
Emory University,Atlanta,GA,South,Graduate,Private,CoEd,0.2682,1366,7730,45008,12358,21,19000,-84.3879824,33.7489954
Armstrong State University,Savannah,GA,South,Graduate,Public,CoEd,0.6803,1006,6162,5266,5824,81,21000,-81.0998342,32.0835407
Covenant College,Lookout Mountain,GA,South,Graduate,Private,CoEd,0.9664,1175,1066,30160,6904,36,21441,-85.3577363,34.9775757
Georgia Southwestern State University,Americus,GA,South,Graduate,Public,CoEd,0.6964,970,2415,5158,5792,88,21500,-84.2326876,32.0723861
Georgia College and State University,Milledgeville,GA,South,Graduate,Public,CoEd,0.7624,1132,5827,8960,6412,32,21500,-83.2320991,33.0801429
Georgia Southern University,Statesboro,GA,South,Graduate,Public,CoEd,0.631,1099,17232,6170,6402,61,22500,-81.7831674,32.4487876
Kennesaw State University,Kennesaw,GA,South,Graduate,Public,CoEd,0.5345,1076,23058,5912,6362,71,22750,-84.6154897,34.0234337
Georgia State University,Atlanta,GA,South,Graduate,Public,CoEd,0.5944,1055,24619,8618,8247,60,23090,-84.3879824,33.7489954
Truett-McConnell College,Cleveland,GA,South,Bachelor,Private,CoEd,0.9633,971,729,17400,3921,128,23500,-83.7632366,34.5970402
Toccoa Falls College,Toccoa Falls,GA,South,Bachelor,Private,CoEd,0.3705,970,807,19700,5139,60,23750,-83.3567409,34.5941656
Piedmont College,Demorest,GA,South,Graduate,Private,CoEd,0.5755,968,1286,21350,6332,36,23958,-83.5451724,34.565098
Berry College,Mount Berry,GA,South,Graduate,Private,CoEd,0.6083,1183,2065,30530,7322,22,24000,-85.1832843,34.275093
University of West Georgia,Carrollton,GA,South,Graduate,Public,CoEd,0.4861,950,9982,5938,5936,88,24250,-85.0766113,33.5801103
Georgia Institute of Technology-Main Campus,Atlanta,GA,South,Graduate,Public,CoEd,0.3338,1400,13996,11394,11616,17,24250,-84.3879824,33.7489954
Mercer University,Macon,GA,South,Graduate,Private,CoEd,0.6672,1205,4418,33780,7945,44,25000,-83.6324022,32.8406946
Columbus State University,Columbus,GA,South,Graduate,Public,CoEd,0.5522,976,6715,5613,6306,87,25039,-84.9877094,32.4609764
Southern Polytechnic State University,Marietta,GA,South,Graduate,Public,CoEd,0.7906,1134,5890,5839,6149,198,25125,-84.5499327,33.952602
Valdosta State University,Valdosta,GA,South,Graduate,Public,CoEd,0.5414,1018,9235,6142,6041,86,25247,-83.2784851,30.8327022
Young Harris College,Young Harris,GA,South,Bachelor,Private,CoEd,0.5029,990,1180,26386,5970,88,26000,-83.8471223,34.9331453
Clayton  State University,Morrow,GA,South,Graduate,Public,CoEd,0.4245,930,6064,5246,6230,80,26250,-84.3393683,33.5831662
Spelman College,Atlanta,GA,South,Bachelor,Private,Women,0.54,1005,2135,25496,7491,75,26996,-84.3879824,33.7489954
