TEAM,NAME,EXPERIENCE,POSITION,AGE,HT,WT,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG,Salary
Portland Trail Blazers,Meyers Leonard,6,PF,26,215.9,115.38,3.4,2.1,0,17.81,5.5,3.7,0.3,332,15.7,2.1-4.5,0.468,0.7-1.8,0.373,0.6-0.7,0.824,0.8,0.3,0.2,0.7,5.5,10595506
Portland Trail Blazers,Damian Lillard,6,PG,28,190.5,88.24,26.9,6.6,4.5,25.19,23.1,6.2,4.1,469,36.4,7.7-17.8,0.432,2.7-7.3,0.368,5.1-5.7,0.884,6.2,0.3,0.9,2.8,23.1,27977689
Portland Trail Blazers,CJ McCollum,5,SG,27,190.5,85.97,21.4,3.4,4,17,17.2,2.9,3,341,29.2,6.5-14.4,0.454,1.9-4.7,0.408,2.2-2.6,0.842,2.9,0.3,0.9,1.8,17.2,25759766
Portland Trail Blazers,Jusuf Nurkic,4,C,24,213.36,124.43,14.3,9,1.4,19.28,10.4,7.3,1.2,238,21.6,4.3-8.9,0.485,0.0-0.1,0,1.8-3.0,0.612,1.5,1.2,0.8,2,10.4,11111111
Portland Trail Blazers,Chinanu Onuaku,2,C,21,208.28,110.86,4,4,0,-3.19,3,2.3,0.2,6,12.3,1.2-2.0,0.583,0.0-0.0,0,0.7-0.7,1,0.7,0.2,0.5,1.2,3,1544951
Portland Trail Blazers,Anfernee Simons,0,SG,19,193.04,83.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1760520
Portland Trail Blazers,Nik Stauskas,4,SG,25,198.12,92.76,4.4,1,1.6,9.05,7,1.6,2.1,267,21.1,2.4-6.1,0.386,1.2-3.5,0.349,1.1-1.4,0.801,1.6,0.3,0.4,1.1,7,1512601
Portland Trail Blazers,Caleb Swanigan,1,PF,21,205.74,113.12,2.3,2,0.1,7.49,2.3,2,0.1,27,7,0.9-2.2,0.4,0.0-0.3,0.125,0.4-0.7,0.667,0.5,0.1,0.2,0.7,2.3,1740000
Portland Trail Blazers,Gary Trent Jr.,0,SG,19,198.12,92.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838464
Portland Trail Blazers,Evan Turner,8,SG,29,200.66,99.55,8.2,2.2,3.1,9.88,10.2,3.5,4.8,613,27.9,4.1-9.5,0.433,0.4-1.4,0.301,1.6-2.0,0.788,3.5,0.3,0.8,1.8,10.2,17868853
Utah Jazz,Grayson Allen,0,SG,23,195.58,89.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2074320
Utah Jazz,Tony Bradley,1,C,20,208.28,112.22,0.9,1.2,0,9.51,0.9,1.2,0,9,3.2,0.3-1.2,0.273,0.0-0.1,0,0.2-0.2,1,0.1,0,0,0,0.9,1679520
Utah Jazz,Alec Burks,7,SG,27,198.12,96.83,7.7,1,3,13.13,9.7,1.6,2.9,365,21,3.4-7.9,0.426,0.6-1.8,0.353,2.3-3.1,0.765,1.6,0.1,0.6,1.3,9.7,11536515
Utah Jazz,Jae Crowder,6,PF,28,198.12,106.33,9.7,3.4,0.3,10.44,9,3.8,0.3,463,23.7,3.2-7.4,0.429,1.2-3.6,0.341,1.5-1.9,0.791,1.4,0.3,1,0.8,9,7305825
Utah Jazz,Dante Exum,3,PG,23,198.12,85.97,8.1,3.1,1.9,16.72,5.7,2.2,1.8,162,20.2,2.1-5.3,0.395,0.8-2.7,0.306,0.6-0.8,0.757,2.2,0.2,0.4,1.3,5.7,9600000
Utah Jazz,Derrick Favors,8,PF,27,208.28,119.91,12.3,7.2,1.1,18.82,11.6,7.2,1.3,556,26.1,4.7-9.0,0.517,0.0-0.2,0.202,2.2-3.3,0.663,1.1,1.3,0.8,1.5,11.6,16900000
Utah Jazz,Rudy Gobert,5,C,26,215.9,110.86,13.5,10.7,2.3,20.71,10,10,2.2,325,28,3.6-5.9,0.614,0.0-0.0,0,2.7-4.3,0.629,1.2,2.2,0.6,1.6,10,23241573
Utah Jazz,Joe Ingles,4,SF,31,203.2,102.26,11.5,4.8,4.2,14.42,7,2.8,2.9,324,23,2.5-5.6,0.447,1.5-3.6,0.416,0.5-0.6,0.761,2.8,0.1,1,1.3,7,13045455
Utah Jazz,Donovan Mitchell,1,SG,22,190.5,97.29,20.5,3.7,3.7,16.74,20.5,3.7,3.7,79,33.4,7.5-17.2,0.437,2.4-7.0,0.34,3.0-3.8,0.805,3.7,0.3,1.5,2.7,20.5,3111480
Utah Jazz,Raul Neto,3,PG,26,185.42,81,4.5,1.8,1.2,11.91,4.7,1.7,1.2,162,14.5,1.8-4.1,0.439,0.6-1.5,0.388,0.5-0.7,0.754,1.7,0.1,0.6,1,4.7,2150000
Utah Jazz,Georges Niang,2,SF,25,203.2,104.07,1,0.3,1,9.22,0.9,0.3,0.8,32,3.9,0.4-1.5,0.277,0.0-0.5,0.063,0.1-0.1,0.75,0.3,0,0.2,0.3,0.9,1512601
Utah Jazz,Royce O'Neale,1,SF,25,198.12,102.26,5,1.4,3.4,10.84,5,1.4,3.4,69,16.7,1.7-4.1,0.423,0.6-1.7,0.356,0.9-1.1,0.803,1.4,0.2,0.5,0.8,5,1378242
Utah Jazz,Ricky Rubio,7,PG,27,193.04,85.97,13.1,5.3,4.6,15.43,10.8,7.9,4.3,430,31.3,3.4-9.0,0.385,0.8-2.4,0.325,3.2-3.8,0.836,7.9,0.1,2,2.8,10.8,14975000
Utah Jazz,Thabo Sefolosha,12,SF,34,200.66,99.55,8.2,0.9,4.2,15.86,6.1,1.5,3.9,778,23.2,2.3-5.2,0.449,0.6-1.7,0.347,0.8-1.1,0.737,1.5,0.4,1.1,0.9,6.1,5250000
Utah Jazz,Ekpe Udoh,6,C,31,208.28,110.86,2.6,2.4,1.2,15.19,3.7,3,1.2,333,16.1,1.4-3.2,0.437,0.0-0.0,0,0.9-1.2,0.724,0.7,1.2,0.5,0.6,3.7,3360000
