"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",3738864.86666667,2283879.52432874,5193850.20900459,0.5248
"conf.int",3706609.06666667,2139918.59715786,5273299.53617548,0.5248
"conf.int",5060224.7,2590809.54665298,7529639.85334701,0.5248
"conf.int",4341781.3,2585854.23972152,6097708.36027848,0.5248
"conf.int",3575451.5,2065150.98082436,5085752.01917564,0.5248
"conf.int",3059950.16666667,1769416.56123746,4350483.77209588,0.5248
"conf.int",4780724.86666667,3107409.29036913,6454040.4429642,0.5248
"conf.int",4600939.66666667,2936836.23638212,6265043.09695122,0.5248
"conf.int",4136125.73333333,2293487.22358113,5978764.24308554,0.5248
"conf.int",4517471.56666667,2333368.13497907,6701574.99835427,0.5248
"conf.int",3517308.86666667,2206517.234146,4828100.49918734,0.5248
"conf.int",3895297.96666667,2345887.69802939,5444708.23530394,0.5248
"conf.int",3593827.16666667,1904639.04723805,5283015.28609529,0.5248
"conf.int",4117047.3,2342849.96032606,5891244.63967394,0.5248
"conf.int",2917229.76666667,1593278.1914576,4241181.34187573,0.5248
"conf.int",4257005.56666667,2767243.64134807,5746767.49198526,0.5248
"conf.int",4100149.16666667,2375064.64269127,5825233.69064207,0.5248
"conf.int",3672760.13333333,2327611.5381374,5017908.72852927,0.5248
"conf.int",4026440.53333333,2244143.83979505,5808737.22687161,0.5248
"conf.int",3713314.9,1946322.31955234,5480307.48044766,0.5248
"conf.int",4602856.36666667,2740475.76828187,6465236.96505146,0.5248
"conf.int",2874822.83333333,1479288.08415068,4270357.58251598,0.5248
"conf.int",3595831.53333333,2380558.06725214,4811104.99941453,0.5248
"conf.int",4167376.73333333,2504651.35739411,5830102.10927256,0.5248
"conf.int",3808996,2297299.8303881,5320692.1696119,0.5248
"conf.int",4325508.46666667,2480928.03450291,6170088.89883042,0.5248
"conf.int",4980890.46666667,3165272.09350799,6796508.83982535,0.5248
"conf.int",5157251.3,3338633.25226999,6975869.34773001,0.5248
"conf.int",3948278.73333333,2363861.6937542,5532695.77291247,0.5248
"conf.int",3568376.06666667,2503021.78814155,4633730.34519178,0.5248
"conf.int",4942393.26666667,2763563.98767378,7121222.54565955,0.5248
"conf.int",3937753.26666667,2356409.59241313,5519096.9409202,0.5248
"conf.int",2980357,1328601.34723416,4632112.65276584,0.5248
"conf.int",3485358.36666667,1568085.99324795,5402630.74008538,0.5248
"conf.int",7264289.63333333,4483342.13308886,10045237.1335778,0.5248
"conf.int",4132566.86666667,2227428.2910305,6037705.44230283,0.5248
"conf.int",4289190.83333333,2365682.5897885,6212699.07687817,0.5248
"conf.int",4483013.3,2364334.76295084,6601691.83704916,0.5248
"conf.int",3999948.3,2482836.57361159,5517060.02638841,0.5248
"conf.int",5590977.3,3694807.11507705,7487147.48492295,0.5248
"conf.int",4085224.6,2479469.23047917,5690979.96952084,0.5248
"conf.int",4976881.4,3194514.23825235,6759248.56174765,0.5248
"conf.int",3817748.5,1996628.14852493,5638868.85147507,0.5248
"conf.int",5449107.5,3022016.4812429,7876198.5187571,0.5248
"conf.int",4952745.63333333,2773104.73575048,7132386.53091619,0.5248
"conf.int",4195915.56666667,2224701.8481212,6167129.28521213,0.5248
"conf.int",4021314.4,1957695.35723136,6084933.44276864,0.5248
"conf.int",4706050.36666667,2716738.98617352,6695361.74715981,0.5248
"conf.int",3569562.9,1970394.54362473,5168731.25637527,0.5248
"conf.int",4038792.83333333,2254256.55022241,5823329.11644425,0.5248
"conf.int",4612119.26666667,2245032.74949948,6979205.78383385,0.5248
"conf.int",3396006.06666667,1994234.36024313,4797777.7730902,0.5248
"conf.int",4132827.66666667,2567859.84009616,5697795.49323717,0.5248
"conf.int",4287071.73333333,2463936.99268007,6110206.4739866,0.5248
"conf.int",4988130.9,2596154.12392642,7380107.67607358,0.5248
"conf.int",5385825.16666667,3197597.98134522,7574052.35198812,0.5248
"conf.int",4111432.83333333,2196674.82653328,6026190.84013339,0.5248
"conf.int",4159765.4,2287130.44283688,6032400.35716312,0.5248
"conf.int",3995145.83333333,1883484.71677891,6106806.94988776,0.5248
"conf.int",5722144.16666667,3422845.88990494,8021442.44342839,0.5248
"conf.int",3151449.2,1772655.73833704,4530242.66166297,0.5248
"conf.int",5326040.86666667,3248493.11208275,7403588.62125058,0.5248
"conf.int",5093259.86666667,3120342.16504534,7066177.568288,0.5248
"conf.int",3486074.86666667,1414665.38727297,5557484.34606036,0.5248
"conf.int",2874588.2,1671093.25327781,4078083.14672219,0.5248
"conf.int",3585220.9,2549205.34266007,4621236.45733993,0.5248
"conf.int",4605170.96666667,2805856.21880588,6404485.71452745,0.5248
"conf.int",4999848.53333333,2553577.79414202,7446119.27252464,0.5248
"conf.int",3602034.3,2356046.1185878,4848022.4814122,0.5248
"conf.int",3791665.6,2335767.208271,5247563.991729,0.5248
"conf.int",3227988.83333333,2020553.66583166,4435424.00083501,0.5248
"conf.int",4757067.16666667,2653634.16420758,6860500.16912576,0.5248
"conf.int",4067418.3,2256551.22924886,5878285.37075114,0.5248
"conf.int",5613004.33333333,3579175.97750971,7646832.68915695,0.5248
"conf.int",3123195.33333333,1387924.37786609,4858466.28880058,0.5248
"conf.int",3329986.53333333,2118640.34975237,4541332.7169143,0.5248
"conf.int",5388737.66666667,3094038.9869002,7683436.34643313,0.5248
"conf.int",5127271.5,2776445.58050425,7478097.41949575,0.5248
"conf.int",3622114.23333333,1950477.97316022,5293750.49350645,0.5248
"conf.int",4822245.13333333,3045948.02110281,6598542.24556386,0.5248
"conf.int",4561007.6,2857042.04950586,6264973.15049414,0.5248
"conf.int",6192726.96666667,3915630.40515584,8469823.52817749,0.5248
"conf.int",5416054.76666667,2839382.09240267,7992727.44093067,0.5248
"conf.int",3344570.73333333,1702005.74487896,4987135.72178771,0.5248
"conf.int",4484738.56666667,2681074.77957581,6288402.35375752,0.5248
"conf.int",4772367.83333333,2804920.93470933,6739814.73195733,0.5248
"conf.int",4015629.76666667,2028618.01632347,6002641.51700986,0.5248
"conf.int",4604674.43333333,2742376.48758558,6466972.37908108,0.5248
"conf.int",2133762.6,1172711.58143083,3094813.61856917,0.5248
"conf.int",3414895.83333333,1418423.53315431,5411368.13351235,0.5248
"conf.int",3345768.26666667,2007321.74258138,4684214.79075196,0.5248
"conf.int",4129148.36666667,2293964.78523479,5964331.94809855,0.5248
"conf.int",3155661.33333333,1948697.97102603,4362624.69564064,0.5248
"conf.int",3804350.33333333,2008111.53697312,5600589.12969355,0.5248
"conf.int",5226971,3288740.61693097,7165201.38306903,0.5248
"conf.int",4615399.8,2712429.12244024,6518370.47755976,0.5248
"conf.int",4822405.86666667,2609275.76402458,7035535.96930875,0.5248
"conf.int",5592978.3,3499858.36350361,7686098.23649639,0.5248
"conf.int",3986976.46666667,2310480.74896397,5663472.18436937,0.5248
