"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",4350870.06,3365630.55341032,5336109.56658968,0.4996
"conf.int",3799106.34,2969440.61681227,4628772.06318773,0.4996
"conf.int",4221382.01,3250454.47164569,5192309.54835431,0.4996
"conf.int",4525410.58,3552200.47151829,5498620.68848171,0.4996
"conf.int",3800721.25,2965235.72233047,4636206.77766953,0.4996
"conf.int",3789850.73,2873670.96731816,4706030.49268183,0.4996
"conf.int",4892278.75,3838661.90234523,5945895.59765477,0.4996
"conf.int",4922398.55,3820200.30947,6024596.79053,0.4996
"conf.int",4718633.09,3700946.18345359,5736319.99654641,0.4996
"conf.int",4530552.01,3468662.50343675,5592441.51656324,0.4996
"conf.int",3709114.92,2785800.64018056,4632429.19981944,0.4996
"conf.int",4728392.88,3710842.77835747,5745942.98164253,0.4996
"conf.int",4254411.18,3435982.32010417,5072840.03989583,0.4996
"conf.int",4635255.7,3661584.64062505,5608926.75937495,0.4996
"conf.int",4458854.91,3570988.29906983,5346721.52093017,0.4996
"conf.int",4646153.89,3614678.15728422,5677629.62271577,0.4996
"conf.int",4188078.88,3170470.68367372,5205687.07632628,0.4996
"conf.int",3949193.14,3124642.96693773,4773743.31306227,0.4996
"conf.int",3765462.61,2849505.52842726,4681419.69157274,0.4996
"conf.int",4259914.62,3196840.06729123,5322989.17270877,0.4996
"conf.int",4362497.43,3394972.37311373,5330022.48688627,0.4996
"conf.int",4573394.29,3563141.84166478,5583646.73833522,0.4996
"conf.int",5388920.48,4134604.96695353,6643235.99304647,0.4996
"conf.int",4519491.56,3552433.42619884,5486549.69380116,0.4996
"conf.int",4141476.37,3207004.47977779,5075948.26022221,0.4996
"conf.int",4910805.95,3846417.96525112,5975193.93474888,0.4996
"conf.int",4446849.95,3509853.87813879,5383846.02186121,0.4996
"conf.int",4387977.66,3335533.69932878,5440421.62067122,0.4996
"conf.int",4847917.37,3822450.54531288,5873384.19468712,0.4996
"conf.int",3553269.63,2709741.52611812,4396797.73388188,0.4996
"conf.int",4119952.79,3182412.25203449,5057493.32796551,0.4996
"conf.int",4241826.45,3183305.84985365,5300347.05014635,0.4996
"conf.int",4660387.18,3565675.17589221,5755099.18410779,0.4996
"conf.int",4641375.11,3562136.16967091,5720614.05032909,0.4996
"conf.int",4023237.17,3102907.14367552,4943567.19632448,0.4996
"conf.int",4175468.76,3278819.83057574,5072117.68942426,0.4996
"conf.int",4028265.79,3078656.81232308,4977874.76767693,0.4996
"conf.int",5033420.93,3856243.35286594,6210598.50713406,0.4996
"conf.int",5647868.96,4444147.38868957,6851590.53131043,0.4996
"conf.int",4838928.96,3727315.20918771,5950542.71081229,0.4996
"conf.int",4541706.27,3449408.9806405,5634003.5593595,0.4996
"conf.int",3880903.38,2971577.78374259,4790228.97625741,0.4996
"conf.int",3874857.26,3026644.74965699,4723069.77034301,0.4996
"conf.int",4459357.85,3395120.51799433,5523595.18200567,0.4996
"conf.int",4706925.97,3715948.3953395,5697903.5446605,0.4996
"conf.int",4096243.46,3138710.37907999,5053776.54092001,0.4996
"conf.int",4132146.42,3243385.25202921,5020907.58797079,0.4996
"conf.int",5056684.82,3871226.20048807,6242143.43951193,0.4996
"conf.int",4777738.71,3643464.98387757,5912012.43612243,0.4996
"conf.int",4218032.89,3316914.62098237,5119151.15901763,0.4996
"conf.int",4004533.21,3123653.57635047,4885412.84364953,0.4996
"conf.int",4175828.9,3301231.00182653,5050426.79817347,0.4996
"conf.int",4297584.43,3356149.90817936,5239018.95182064,0.4996
"conf.int",3685802.33,2786290.26349036,4585314.39650964,0.4996
"conf.int",4005777.29,3072079.06019988,4939475.51980012,0.4996
"conf.int",3754701.67,2883641.18462073,4625762.15537927,0.4996
"conf.int",3673547.21,2843001.86277098,4504092.55722902,0.4996
"conf.int",3832846.66,2901694.49481493,4763998.82518507,0.4996
"conf.int",4659238.32,3634283.34984475,5684193.29015525,0.4996
"conf.int",4076830.03,3137198.47308037,5016461.58691963,0.4996
"conf.int",4111258.99,3181761.15643983,5040756.82356017,0.4996
"conf.int",5672437.51,4440175.18295749,6904699.83704251,0.4996
