"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",6844951.45,3554447.85987825,10135455.0401217,0.5192
"conf.int",9778697.2,5479685.99476722,14077708.4052328,0.5192
"conf.int",7866050.75,3768039.35648082,11964062.1435192,0.5192
"conf.int",11461155.15,5986680.66584079,16935629.6341592,0.5192
"conf.int",6953030.6,3962928.46984179,9943132.73015821,0.5192
"conf.int",2934845.85,1908379.49535503,3961312.20464497,0.5192
"conf.int",5172352.2,1788446.96350983,8556257.43649017,0.5192
"conf.int",7688385.8,4505443.57434969,10871328.0256503,0.5192
"conf.int",8053798.7,4340527.14835981,11767070.2516402,0.5192
"conf.int",7939672.45,3529499.58782199,12349845.312178,0.5192
"conf.int",9115170.75,4816430.90790304,13413910.592097,0.5192
"conf.int",8667149.6,4685229.48177228,12649069.7182277,0.5192
"conf.int",6241933.65,3711299.16115117,8772568.13884883,0.5192
"conf.int",8009867.3,4181082.0889913,11838652.5110087,0.5192
"conf.int",6117857.15,3605663.86401739,8630050.43598261,0.5192
"conf.int",9954718.3,5824600.4447477,14084836.1552523,0.5192
"conf.int",7175912.4,3333444.70715697,11018380.092843,0.5192
"conf.int",8282777.9,4056793.67999726,12508762.1200027,0.5192
"conf.int",6627455.85,2885361.69326143,10369550.0067386,0.5192
"conf.int",8604502.45,5871032.10980188,11337972.7901981,0.5192
"conf.int",5575156.75,2332393.41031768,8817920.08968232,0.5192
"conf.int",7378790.2,4831008.44513551,9926571.95486449,0.5192
"conf.int",7840773.75,3640987.40749629,12040560.0925037,0.5192
"conf.int",8542802.15,4900356.60131319,12185247.6986868,0.5192
"conf.int",8027560.4,3912166.42471477,12142954.3752852,0.5192
"conf.int",8837416.45,4934552.99825137,12740279.9017486,0.5192
"conf.int",10373116.35,6491657.15503942,14254575.5449606,0.5192
"conf.int",8296189.95,3816393.87605588,12775986.0239441,0.5192
"conf.int",7369006.15,3026004.32992539,11712007.9700746,0.5192
"conf.int",6709763.7,4055447.66097383,9364079.73902617,0.5192
"conf.int",6269700.5,3590680.03704362,8948720.96295637,0.5192
"conf.int",5612506.5,2396591.77338412,8828421.22661587,0.5192
"conf.int",7652902.3,3675280.26154887,11630524.3384511,0.5192
"conf.int",8071072.15,4364882.64190816,11777261.6580918,0.5192
"conf.int",5759293.35,2272649.94127224,9245936.75872776,0.5192
"conf.int",7658944.3,3774988.40482371,11542900.1951763,0.5192
"conf.int",9334045,4859665.62695463,13808424.3730454,0.5192
"conf.int",9352383.55,5291345.23522428,13413421.8647757,0.5192
"conf.int",4230621.85,2751776.39470468,5709467.30529532,0.5192
"conf.int",9657735.4,5531970.84614162,13783499.9538584,0.5192
"conf.int",8368310.25,4180412.94910284,12556207.5508972,0.5192
"conf.int",4843163.5,2411076.8351402,7275250.1648598,0.5192
"conf.int",6370494.25,3369833.18028331,9371155.31971669,0.5192
"conf.int",10163152.45,6050794.35088449,14275510.5491155,0.5192
"conf.int",8856356.05,4742702.46275854,12970009.6372415,0.5192
"conf.int",6518103.85,3008678.65027373,10027529.0497263,0.5192
"conf.int",4779640.6,1107353.86941991,8451927.33058009,0.5192
"conf.int",8636812.1,4210221.35049012,13063402.8495099,0.5192
"conf.int",6218360.7,2770736.60692364,9665984.79307637,0.5192
"conf.int",7438589.05,3768088.493953,11109089.606047,0.5192
"conf.int",5729091.35,3032753.0872658,8425429.6127342,0.5192
"conf.int",12461138.65,7417289.1039172,17504988.1960828,0.5192
"conf.int",9338958.15,5623269.91323612,13054646.3867639,0.5192
"conf.int",4000300.75,2222233.37568077,5778368.12431923,0.5192
"conf.int",8565171.65,3698668.3336701,13431674.9663299,0.5192
"conf.int",10446809.45,6299585.82662832,14594033.0733717,0.5192
"conf.int",7257969.6,3707051.76082174,10808887.4391783,0.5192
"conf.int",7468755.4,3835337.07521397,11102173.724786,0.5192
"conf.int",6544588.35,2283283.7569385,10805892.9430615,0.5192
