"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",6527.16,4821.07732716601,8233.24267283399,0.5237
"conf.int",5478.83,4056.55661630153,6901.10338369847,0.5237
"conf.int",5246.15,3966.98761227149,6525.31238772851,0.5237
"conf.int",6432.06,4809.96374330081,8054.1562566992,0.5237
"conf.int",5757.21,4304.28411379033,7210.13588620967,0.5237
"conf.int",5252.25,3895.35693034963,6609.14306965037,0.5237
"conf.int",6221.36,4724.57182685962,7718.14817314038,0.5237
"conf.int",5070.04,3849.19193158185,6290.88806841815,0.5237
"conf.int",6205.4,4532.090537471,7878.709462529,0.5237
"conf.int",4818.86,3487.64218300598,6150.07781699402,0.5237
"conf.int",5436.73,4150.69501440664,6722.76498559336,0.5237
"conf.int",4967.05,3764.39795307014,6169.70204692986,0.5237
"conf.int",6406.65,4800.79972540848,8012.50027459152,0.5237
"conf.int",5298.88,3731.30887892717,6866.45112107284,0.5237
"conf.int",4307.89,3130.99824554866,5484.78175445134,0.5237
"conf.int",6593.55,5029.25483035581,8157.84516964419,0.5237
"conf.int",5716.76,4383.8066477824,7049.7133522176,0.5237
"conf.int",5458.47,4191.60124006362,6725.33875993638,0.5237
"conf.int",5127.85,3896.73207285669,6358.96792714331,0.5237
"conf.int",5750.96,4169.49736559659,7332.42263440341,0.5237
"conf.int",5129.74,3793.96246941191,6465.51753058809,0.5237
"conf.int",7391.01,5379.89368048793,9402.12631951207,0.5237
"conf.int",4459.52,3267.2237036551,5651.8162963449,0.5237
"conf.int",5272.18,4091.43667971011,6452.92332028989,0.5237
"conf.int",6009.83,4366.22151375983,7653.43848624017,0.5237
"conf.int",4726.25,3526.32409305707,5926.17590694293,0.5237
"conf.int",5512.81,4214.61763650571,6811.00236349429,0.5237
"conf.int",6543.62,4952.19568692407,8135.04431307593,0.5237
"conf.int",5460.31,3797.86368056956,7122.75631943044,0.5237
"conf.int",4698.05,3437.08766593083,5959.01233406917,0.5237
"conf.int",5940.87,4509.80854098208,7371.93145901792,0.5237
"conf.int",6161.2,4521.93603839618,7800.46396160381,0.5237
"conf.int",5380.28,3780.11622670113,6980.44377329887,0.5237
"conf.int",4775.22,3500.92629370405,6049.51370629595,0.5237
"conf.int",4773.32,3429.4387192785,6117.2012807215,0.5237
"conf.int",4594.49,3470.56826210242,5718.41173789758,0.5237
"conf.int",5891.87,4315.70364398131,7468.03635601869,0.5237
"conf.int",5914.41,4458.55493891476,7370.26506108524,0.5237
"conf.int",7567.79,5763.96058787265,9371.61941212734,0.5237
"conf.int",6122.43,4605.64541898546,7639.21458101454,0.5237
"conf.int",5797,4488.05267007591,7105.94732992409,0.5237
"conf.int",5360.31,4058.50384660602,6662.11615339398,0.5237
"conf.int",5563.47,4167.16880239979,6959.77119760021,0.5237
"conf.int",4746.33,3638.37199439127,5854.28800560873,0.5237
"conf.int",5842.67,4355.25723267977,7330.08276732023,0.5237
"conf.int",5600.87,3894.95579646871,7306.78420353129,0.5237
"conf.int",5872.96,4288.62362543514,7457.29637456486,0.5237
"conf.int",5125.24,3826.1330898913,6424.3469101087,0.5237
"conf.int",4905.54,3811.80316881486,5999.27683118514,0.5237
"conf.int",5693.35,4192.34427113155,7194.35572886845,0.5237
"conf.int",5996.81,4336.7398717584,7656.8801282416,0.5237
"conf.int",5497.67,4089.64758525009,6905.69241474991,0.5237
"conf.int",5226.69,3995.48296802852,6457.89703197148,0.5237
"conf.int",5466.72,3931.61568468094,7001.82431531906,0.5237
"conf.int",5130.57,3832.61355814638,6428.52644185362,0.5237
"conf.int",5190.54,3631.97646486271,6749.10353513729,0.5237
"conf.int",6589.11,4837.61009026354,8340.60990973646,0.5237
"conf.int",7344.9,5302.64956964524,9387.15043035476,0.5237
"conf.int",5950.63,4382.23480471944,7519.02519528056,0.5237
"conf.int",6832.46,4936.1151213275,8728.8048786725,0.5237
"conf.int",7118.74,5244.67496145443,8992.80503854557,0.5237
"conf.int",5455.65,4097.76239566541,6813.53760433459,0.5237
"conf.int",5007.11,3597.07601399541,6417.14398600459,0.5237
"conf.int",6136.98,4810.6631091232,7463.2968908768,0.5237
"conf.int",6051.83,4578.79005422812,7524.86994577188,0.5237
"conf.int",5385.2,3810.32343122076,6960.07656877924,0.5237
"conf.int",5494.72,4125.31381109556,6864.12618890444,0.5237
"conf.int",5248.29,3961.85027694551,6534.72972305449,0.5237
"conf.int",6094.59,4780.00931167,7409.17068832999,0.5237
"conf.int",4980.3,3737.08519727215,6223.51480272785,0.5237
"conf.int",5534.61,3960.23370098549,7108.98629901451,0.5237
"conf.int",5208.2,3867.0863383515,6549.3136616485,0.5237
"conf.int",4701.6,3432.44981887082,5970.75018112918,0.5237
"conf.int",5604.81,4255.80754233065,6953.81245766935,0.5237
"conf.int",6013.39,4356.13519099803,7670.64480900197,0.5237
"conf.int",5237.78,3800.91907955633,6674.64092044367,0.5237
"conf.int",6543.24,4841.81510696571,8244.66489303429,0.5237
"conf.int",4817.21,3529.56903275556,6104.85096724444,0.5237
"conf.int",5017.72,3698.74942746543,6336.69057253457,0.5237
"conf.int",4757.25,3654.05177076421,5860.44822923579,0.5237
"conf.int",5564.79,4009.38960511118,7120.19039488882,0.5237
"conf.int",6295.04,4870.11228216985,7719.96771783015,0.5237
"conf.int",6027.52,4459.31177524644,7595.72822475356,0.5237
"conf.int",6329.2,4592.93896286316,8065.46103713684,0.5237
"conf.int",6015.59,4511.63717028211,7519.54282971789,0.5237
"conf.int",5482.68,3976.12414739173,6989.23585260827,0.5237
"conf.int",5718.15,4152.54923405062,7283.75076594938,0.5237
"conf.int",5465.74,4139.82427253687,6791.65572746313,0.5237
"conf.int",6359.3,4395.62927639426,8322.97072360574,0.5237
"conf.int",5378.58,3961.67165851633,6795.48834148367,0.5237
"conf.int",5262.18,3715.57287872679,6808.78712127322,0.5237
"conf.int",5239.46,3821.06618158735,6657.85381841265,0.5237
"conf.int",5744.31,4331.08536225329,7157.53463774671,0.5237
"conf.int",5933.31,4598.56039299989,7268.05960700011,0.5237
"conf.int",5561.81,4043.71210913264,7079.90789086736,0.5237
"conf.int",4834.2,3818.57954376255,5849.82045623745,0.5237
"conf.int",4374.63,3192.04982662486,5557.21017337514,0.5237
"conf.int",5028.17,3778.1549671451,6278.1850328549,0.5237
"conf.int",5579.33,4221.92027515662,6936.73972484338,0.5237
"conf.int",5086.72,3694.2497583469,6479.1902416531,0.5237
"conf.int",5282.55,4052.06665657869,6513.03334342131,0.5237
"conf.int",5939.2,4344.07453840794,7534.32546159206,0.5237
"conf.int",5679.32,4187.71131897907,7170.92868102093,0.5237
"conf.int",6614.1,4930.08002796638,8298.11997203362,0.5237
"conf.int",6127.09,4590.66366916995,7663.51633083005,0.5237
"conf.int",4558.98,3239.38795199135,5878.57204800865,0.5237
"conf.int",5714.38,4342.14727915743,7086.61272084257,0.5237
"conf.int",6665.24,5025.81248795354,8304.66751204647,0.5237
"conf.int",5803.43,4206.45035921367,7400.40964078633,0.5237
"conf.int",5926.87,4508.43213037735,7345.30786962265,0.5237
"conf.int",5604.02,3968.60561738848,7239.43438261152,0.5237
"conf.int",6927.2,5458.39663812035,8396.00336187965,0.5237
"conf.int",5537.98,4081.11249969395,6994.84750030605,0.5237
"conf.int",5670.29,4010.20261754044,7330.37738245956,0.5237
"conf.int",6344.65,4852.89666175137,7836.40333824863,0.5237
"conf.int",4606.32,3323.89069791147,5888.74930208853,0.5237
"conf.int",4656.55,3487.17333110017,5825.92666889983,0.5237
"conf.int",7252.65,5396.24928570605,9109.05071429395,0.5237
"conf.int",7067.87,5296.91172711354,8838.82827288647,0.5237
"conf.int",5228.23,3903.39041117122,6553.06958882877,0.5237
"conf.int",6232.68,4530.77676148471,7934.58323851529,0.5237
"conf.int",6601.82,4996.21578735515,8207.42421264485,0.5237
"conf.int",5406.83,3879.47765310268,6934.18234689732,0.5237
"conf.int",5076.21,3917.29061361442,6235.12938638558,0.5237
"conf.int",5993.53,4399.69953420293,7587.36046579707,0.5237
"conf.int",5443.61,4042.85681966645,6844.36318033355,0.5237
"conf.int",6224.32,4687.76513983917,7760.87486016083,0.5237
"conf.int",4865.12,3623.10702080586,6107.13297919414,0.5237
"conf.int",5272.96,3956.45912160547,6589.46087839453,0.5237
"conf.int",5937.04,4376.80927994659,7497.27072005341,0.5237
"conf.int",4840.81,3533.02405711445,6148.59594288555,0.5237
"conf.int",3909.74,3021.767294095,4797.712705905,0.5237
"conf.int",5007.34,3547.1254694544,6467.5545305456,0.5237
"conf.int",5376.4,3999.00296379452,6753.79703620548,0.5237
"conf.int",5694.42,4156.29647694444,7232.54352305556,0.5237
"conf.int",4869.9,3500.85814418856,6238.94185581144,0.5237
"conf.int",5136.28,3916.08108690448,6356.47891309552,0.5237
"conf.int",5948.75,4497.35586245578,7400.14413754422,0.5237
"conf.int",5407.51,3919.34674235558,6895.67325764442,0.5237
"conf.int",6047.86,4632.06735636888,7463.65264363112,0.5237
"conf.int",4985.48,3482.81583340435,6488.14416659565,0.5237
"conf.int",5616.03,3962.99767556158,7269.06232443842,0.5237
"conf.int",6803.54,4976.37163444967,8630.70836555033,0.5237
"conf.int",5338.39,4071.93927580266,6604.84072419734,0.5237
"conf.int",5503.36,4179.8399787321,6826.88002126789,0.5237
"conf.int",5295.09,3880.79807155274,6709.38192844726,0.5237
"conf.int",6320.13,4691.54799714878,7948.71200285122,0.5237
"conf.int",4192.44,3173.86252450014,5211.01747549986,0.5237
"conf.int",5676.89,4385.05345012287,6968.72654987713,0.5237
"conf.int",6613.74,4959.08175714191,8268.39824285809,0.5237
"conf.int",5493.77,4168.91279920576,6818.62720079425,0.5237
"conf.int",5746.46,4250.36801545895,7242.55198454105,0.5237
"conf.int",5863.1,4384.23813483522,7341.96186516478,0.5237
"conf.int",4090.03,3147.01398429393,5033.04601570607,0.5237
"conf.int",5038.24,3812.18863272227,6264.29136727773,0.5237
"conf.int",6122.7,4744.32154904254,7501.07845095746,0.5237
"conf.int",5288.78,3951.63068064295,6625.92931935705,0.5237
"conf.int",5860.65,4131.2347013659,7590.06529863409,0.5237
"conf.int",4830.92,3786.8107651827,5875.0292348173,0.5237
"conf.int",5624.7,4034.19140437175,7215.20859562825,0.5237
"conf.int",6000.54,4531.3852828512,7469.6947171488,0.5237
"conf.int",5285.31,3866.61813518919,6704.00186481081,0.5237
"conf.int",5846.74,4435.10210034423,7258.37789965576,0.5237
"conf.int",6000.41,4271.39640746409,7729.42359253591,0.5237
"conf.int",6215.08,4404.20166786696,8025.95833213304,0.5237
"conf.int",5072.12,3619.91963324266,6524.32036675734,0.5237
"conf.int",5662.6,4116.62031772467,7208.57968227534,0.5237
"conf.int",5568.7,4097.16796453904,7040.23203546096,0.5237
"conf.int",5194.04,3892.83092439261,6495.24907560739,0.5237
"conf.int",5535.71,4018.65046231318,7052.76953768682,0.5237
"conf.int",4382.66,3039.50539765501,5725.81460234499,0.5237
"conf.int",5330.53,4156.41697014069,6504.64302985931,0.5237
"conf.int",5809.5,4300.24797578525,7318.75202421475,0.5237
"conf.int",5530.68,4121.20469302622,6940.15530697378,0.5237
"conf.int",4730.17,3542.10592148558,5918.23407851442,0.5237
"conf.int",6802.17,4990.85897536891,8613.48102463109,0.5237
"conf.int",5697,4210.476602187,7183.523397813,0.5237
"conf.int",5715.75,4314.46499679335,7117.03500320665,0.5237
"conf.int",5733.1,4287.75893465223,7178.44106534777,0.5237
"conf.int",5126.78,3817.86317045925,6435.69682954075,0.5237
"conf.int",4966.02,3601.70905158458,6330.33094841543,0.5237
"conf.int",6596.81,4913.90480413254,8279.71519586746,0.5237
"conf.int",6075.29,4390.11188650188,7760.46811349812,0.5237
"conf.int",7004.97,5170.08440649414,8839.85559350586,0.5237
