"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",4002834.3,2728640.29215976,5277028.30784024,0.512
"conf.int",5251886.9,3456219.91011868,7047553.88988132,0.512
"conf.int",3510417.32,2269257.37738529,4751577.26261471,0.512
"conf.int",3334044.3,2369363.42389623,4298725.17610377,0.512
"conf.int",5154638.22,3619795.80623701,6689480.63376299,0.512
"conf.int",4806437.66,3458698.52847504,6154176.79152496,0.512
"conf.int",4325778.84,2763761.19663536,5887796.48336464,0.512
"conf.int",3532116.2,2507458.91706565,4556773.48293435,0.512
"conf.int",4260717.92,2856381.46917376,5665054.37082624,0.512
"conf.int",3960237.84,2481973.14610245,5438502.53389755,0.512
"conf.int",3404817.22,2104408.04294289,4705226.39705711,0.512
"conf.int",4058383.96,2915867.47399707,5200900.44600293,0.512
"conf.int",3622704.68,2542421.68573375,4702987.67426625,0.512
"conf.int",3495145.68,2180231.93900738,4810059.42099262,0.512
"conf.int",4285409.96,2918214.1473284,5652605.7726716,0.512
"conf.int",3828974.44,2714634.43736904,4943314.44263096,0.512
"conf.int",4024996.66,2893852.61839926,5156140.70160074,0.512
"conf.int",3815434.86,2530827.94599162,5100041.77400838,0.512
"conf.int",4533472.04,3248970.57565948,5817973.50434052,0.512
"conf.int",4576919.96,3346537.6490223,5807302.2709777,0.512
"conf.int",3616302.56,2562149.01676166,4670456.10323834,0.512
"conf.int",4531205.02,3059415.58537466,6002994.45462534,0.512
"conf.int",3999504.22,2695167.88143497,5303840.55856503,0.512
"conf.int",2824034.7,1760175.21583304,3887894.18416696,0.512
"conf.int",5701321.36,3807222.95675141,7595419.76324859,0.512
"conf.int",3518335.52,2261036.43702435,4775634.60297565,0.512
"conf.int",5254655.8,3653184.75067452,6856126.84932548,0.512
"conf.int",4929446.34,3522619.13975706,6336273.54024294,0.512
"conf.int",4334543.74,2991893.76737086,5677193.71262914,0.512
"conf.int",3962460.96,2756180.66561655,5168741.25438345,0.512
"conf.int",3832451.12,2550628.59848208,5114273.64151793,0.512
"conf.int",5825728.74,4031632.25669718,7619825.22330282,0.512
"conf.int",4708966.5,3166663.56607127,6251269.43392873,0.512
"conf.int",4223320.9,2636168.1435881,5810473.6564119,0.512
"conf.int",4421043.56,2993787.73137249,5848299.38862751,0.512
"conf.int",4707545.02,3229456.0310737,6185634.0089263,0.512
"conf.int",3882478.48,2473293.96270493,5291662.99729507,0.512
"conf.int",3636876.14,2531450.87095124,4742301.40904876,0.512
"conf.int",4289398.54,2883236.0393995,5695561.0406005,0.512
"conf.int",4428069.8,2947973.24789479,5908166.35210521,0.512
"conf.int",4375525.96,2846277.03441946,5904774.88558054,0.512
"conf.int",4494542.42,2835819.01758003,6153265.82241997,0.512
"conf.int",5104408.76,3432622.1936142,6776195.3263858,0.512
"conf.int",4148736.68,2633387.20571288,5664086.15428712,0.512
"conf.int",4020624.22,2877083.6609574,5164164.7790426,0.512
"conf.int",4374916.38,2808526.02381771,5941306.73618229,0.512
"conf.int",3391099.08,2264501.1505146,4517697.0094854,0.512
"conf.int",3854263.78,2755440.04784766,4953087.51215234,0.512
"conf.int",4646715.66,3038513.65830839,6254917.66169161,0.512
"conf.int",4057531.98,2677366.17462566,5437697.78537434,0.512
"conf.int",4038380.96,2771091.71969422,5305670.20030577,0.512
"conf.int",4641284.72,3104190.87045371,6178378.56954629,0.512
"conf.int",4634237.02,3120255.72699152,6148218.31300848,0.512
"conf.int",3536969.88,2400462.81316381,4673476.94683619,0.512
"conf.int",3912557.98,2654747.86133005,5170368.09866995,0.512
"conf.int",5044215.64,3257136.22920681,6831295.05079319,0.512
"conf.int",4348413.62,3084028.06837421,5612799.17162579,0.512
"conf.int",4667563.68,3305856.40850847,6029270.95149153,0.512
"conf.int",5973715.9,4416589.98593254,7530841.81406746,0.512
"conf.int",4483568.42,2834653.00471043,6132483.83528957,0.512
"conf.int",4539576.78,3014510.03123486,6064643.52876514,0.512
"conf.int",4326555.18,2981931.02527672,5671179.33472328,0.512
"conf.int",3551377.5,2176061.97001391,4926693.02998609,0.512
"conf.int",3653598.96,2433965.52482059,4873232.39517941,0.512
"conf.int",3497692.58,2160537.90639654,4834847.25360346,0.512
"conf.int",3036295.34,2121473.60003318,3951117.07996682,0.512
"conf.int",4109805.98,2771249.12829426,5448362.83170574,0.512
"conf.int",4011152.92,2704886.50574361,5317419.33425639,0.512
"conf.int",6135820.96,4394870.72916323,7876771.19083677,0.512
"conf.int",5405408.7,3622922.17744508,7187895.22255492,0.512
"conf.int",5278255.58,3696476.06129025,6860035.09870975,0.512
"conf.int",3863614.06,2764358.89312917,4962869.22687083,0.512
"conf.int",3275718.26,2158800.06021733,4392636.45978267,0.512
"conf.int",3432704.78,2378356.36522223,4487053.19477777,0.512
"conf.int",5164996.22,3605392.71451201,6724599.72548798,0.512
"conf.int",5541466.88,3815826.94500861,7267106.81499139,0.512
"conf.int",4287149.94,2986193.85810764,5588106.02189236,0.512
"conf.int",5983247.8,4280132.0512731,7686363.5487269,0.512
"conf.int",5944934,4149667.08474391,7740200.91525609,0.512
"conf.int",4377354.1,3033912.74344815,5720795.45655185,0.512
"conf.int",4310587.24,3013021.05916654,5608153.42083346,0.512
"conf.int",3662605.4,2549626.32463204,4775584.47536796,0.512
"conf.int",4224233.16,2947128.78382712,5501337.53617288,0.512
"conf.int",4143533.42,2606540.94573477,5680525.89426523,0.512
"conf.int",4464714.32,2907247.84911607,6022180.79088394,0.512
"conf.int",3879202.08,2653485.04148445,5104919.11851555,0.512
"conf.int",4283186.98,2709253.50559542,5857120.45440458,0.512
"conf.int",4353525.6,2809337.15862346,5897714.04137654,0.512
"conf.int",4175124.98,3025722.46420263,5324527.49579737,0.512
"conf.int",4157403.08,2607316.90611007,5707489.25388993,0.512
"conf.int",3257984.08,2316097.54616147,4199870.61383853,0.512
"conf.int",3796032.18,2461852.86876586,5130211.49123414,0.512
"conf.int",3959322.94,2714421.11794107,5204224.76205893,0.512
"conf.int",3824651.74,2885880.11262214,4763423.36737786,0.512
"conf.int",5193063.8,3584280.80940132,6801846.79059867,0.512
"conf.int",4975111.92,3354754.67819116,6595469.16180884,0.512
"conf.int",3817002.8,2441087.76308488,5192917.83691512,0.512
"conf.int",4627790.76,2865312.10950917,6390269.41049083,0.512
"conf.int",5381884.02,3589832.8729189,7173935.1670811,0.512
"conf.int",3178570.56,2032290.63120042,4324850.48879958,0.512
"conf.int",3580016.02,2433696.15818762,4726335.88181238,0.512
"conf.int",3557741.3,2539052.71341456,4576429.88658543,0.512
"conf.int",4627245.96,3120075.50684114,6134416.41315886,0.512
"conf.int",4840970.54,3504157.28306255,6177783.79693745,0.512
"conf.int",4615468.94,3247550.34277508,5983387.53722492,0.512
"conf.int",5267166.64,3771341.58585369,6762991.69414631,0.512
"conf.int",4710390.22,3144114.55479048,6276665.88520952,0.512
"conf.int",3860077.7,2422781.36810208,5297374.03189792,0.512
"conf.int",5082286.98,3307642.60480139,6856931.35519861,0.512
"conf.int",3322168.26,2181927.03304703,4462409.48695297,0.512
"conf.int",5023803.62,3629245.53931097,6418361.70068903,0.512
"conf.int",3663358.54,2188229.29692127,5138487.78307873,0.512
"conf.int",3777692.88,2551747.67119317,5003638.08880683,0.512
"conf.int",3780051.22,2494793.62921199,5065308.81078801,0.512
"conf.int",5342167.26,3761187.73487434,6923146.78512566,0.512
"conf.int",4445603.36,2795955.41977343,6095251.30022657,0.512
"conf.int",4218708.7,2733526.79427132,5703890.60572868,0.512
"conf.int",3862679.96,2486050.34008006,5239309.57991994,0.512
"conf.int",5772147.5,3833457.85733446,7710837.14266554,0.512
"conf.int",4225086.48,2850971.17775284,5599201.78224716,0.512
"conf.int",3882699.9,2374462.07634545,5390937.72365456,0.512
"conf.int",4468056.94,2979075.89371677,5957037.98628323,0.512
"conf.int",5952598.5,4231829.13832691,7673367.86167309,0.512
"conf.int",4302296.74,2841552.28473945,5763041.19526055,0.512
"conf.int",3316220.38,2194654.4433579,4437786.3166421,0.512
"conf.int",5395998.08,3739965.80145771,7052030.35854229,0.512
"conf.int",4174540.02,2852428.88626779,5496651.15373221,0.512
"conf.int",4964037.64,3352224.55512372,6575850.72487628,0.512
"conf.int",5113294.2,3503346.553877,6723241.846123,0.512
"conf.int",4194551.86,2833473.9854741,5555629.7345259,0.512
"conf.int",5071061.16,3388260.95342138,6753861.36657862,0.512
"conf.int",4708734.54,3314075.65412703,6103393.42587297,0.512
"conf.int",3647856.5,2394808.80428344,4900904.19571656,0.512
"conf.int",4099306.7,2679855.09511564,5518758.30488437,0.512
"conf.int",3725181.5,2559194.75837537,4891168.24162462,0.512
"conf.int",3501972.32,2560805.31984517,4443139.32015483,0.512
"conf.int",4059651.48,2698813.74425041,5420489.21574959,0.512
"conf.int",4395469.5,3021528.49648331,5769410.50351669,0.512
"conf.int",4277995.3,2701646.6580383,5854343.9419617,0.512
"conf.int",4914991.18,3473177.83080506,6356804.52919494,0.512
"conf.int",4067027.08,2655609.77435386,5478444.38564614,0.512
"conf.int",4775523.7,3341100.66215407,6209946.73784593,0.512
"conf.int",4074754.26,2710338.50439472,5439170.01560528,0.512
"conf.int",4085962.16,2705606.46842872,5466317.85157128,0.512
"conf.int",3434957.62,2159777.94767249,4710137.29232751,0.512
"conf.int",4767580.36,3330582.68831927,6204578.03168073,0.512
"conf.int",3705208.54,2406760.98466229,5003656.09533771,0.512
"conf.int",3712054.44,2511142.57363107,4912966.30636893,0.512
"conf.int",3631901.06,2347088.40660668,4916713.71339332,0.512
"conf.int",3861305.5,2503126.68951333,5219484.31048667,0.512
"conf.int",4617994.5,3102144.7195362,6133844.2804638,0.512
"conf.int",2953569.8,1866318.14795861,4040821.45204139,0.512
"conf.int",3479602.84,2299534.2876362,4659671.3923638,0.512
"conf.int",5271052.84,3759561.40505482,6782544.27494518,0.512
"conf.int",4347297.04,3221291.46710756,5473302.61289244,0.512
"conf.int",4533531.78,2900838.53128604,6166225.02871397,0.512
"conf.int",3320450.36,2293613.42729074,4347287.29270926,0.512
"conf.int",3577110.96,2516627.99633429,4637593.92366571,0.512
"conf.int",4445501.14,2973687.47577337,5917314.80422663,0.512
"conf.int",3643269.34,2312574.41900195,4973964.26099805,0.512
"conf.int",3778754.76,2497821.33963178,5059688.18036822,0.512
"conf.int",4673254.32,3260753.13439501,6085755.505605,0.512
"conf.int",3696295.28,2489081.18840978,4903509.37159022,0.512
"conf.int",4798202.72,3414295.19334568,6182110.24665432,0.512
"conf.int",5627349.12,3975826.81279621,7278871.42720379,0.512
"conf.int",3936801.18,2672072.33360696,5201530.02639304,0.512
"conf.int",3574217.8,2483995.61073042,4664439.98926958,0.512
"conf.int",3742271.66,2679408.88994991,4805134.43005009,0.512
"conf.int",3668743.08,2708643.80047403,4628842.35952597,0.512
"conf.int",4392453.34,2937770.16023166,5847136.51976834,0.512
"conf.int",4270505.54,3019572.68879602,5521438.39120398,0.512
"conf.int",4789707.12,3256593.83347595,6322820.40652405,0.512
"conf.int",4346293.2,2819790.42949635,5872795.97050365,0.512
"conf.int",4167303,2662469.11741254,5672136.88258746,0.512
"conf.int",3233369.06,2278355.68515028,4188382.43484972,0.512
"conf.int",3807149.42,2486249.51895068,5128049.32104932,0.512
"conf.int",4474454.78,3003998.5560577,5944911.0039423,0.512
"conf.int",4920020.68,3364097.4491173,6475943.9108827,0.512
"conf.int",5535796.02,3831853.56525819,7239738.47474181,0.512
"conf.int",4912514.88,3377934.11196679,6447095.64803321,0.512
"conf.int",4913088.76,3408769.74603344,6417407.77396656,0.512
"conf.int",3904881.54,2633342.2847683,5176420.7952317,0.512
"conf.int",3781196.64,2579043.84588679,4983349.43411321,0.512
"conf.int",5051442,3402094.04881384,6700789.95118616,0.512
"conf.int",4806237.76,3259964.25436232,6352511.26563768,0.512
"conf.int",2906895.28,2038211.49169968,3775579.06830032,0.512
"conf.int",4634790.66,2920411.72557266,6349169.59442734,0.512
"conf.int",4864914.66,3489175.59480884,6240653.72519116,0.512
"conf.int",4036335.2,2593742.53955223,5478927.86044777,0.512
"conf.int",4400821.7,2869872.87788194,5931770.52211806,0.512
"conf.int",5419093.26,3788979.82868084,7049206.69131916,0.512
"conf.int",5299929.04,3706554.85320524,6893303.22679476,0.512
"conf.int",4310816.4,2932515.02882624,5689117.77117376,0.512
"conf.int",4388290.98,2983822.49789523,5792759.46210477,0.512
"conf.int",4923831.22,3585956.70741818,6261705.73258182,0.512
"conf.int",4354486.18,2997651.77477475,5711320.58522525,0.512
"conf.int",5846875,3950932.63294965,7742817.36705035,0.512
"conf.int",3456419.54,2281582.05030457,4631257.02969544,0.512
"conf.int",3876751.34,2487463.45443852,5266039.22556148,0.512
"conf.int",3596231.96,2510837.63363898,4681626.28636102,0.512
"conf.int",4107280.26,2770477.6327915,5444082.8872085,0.512
"conf.int",4165576.68,2556810.24160998,5774343.11839002,0.512
"conf.int",5440402.18,3735390.93680161,7145413.42319839,0.512
"conf.int",4243083.12,2860115.52499648,5626050.71500352,0.512
"conf.int",4324122.54,3007919.56063882,5640325.51936118,0.512
"conf.int",4445068.92,3031745.21757881,5858392.62242119,0.512
"conf.int",4125299.4,2883652.27685529,5366946.52314471,0.512
"conf.int",3034553.08,1918954.58263889,4150151.57736111,0.512
"conf.int",3936107.12,2774182.98335599,5098031.25664401,0.512
"conf.int",3815383.7,2337795.94135498,5292971.45864502,0.512
"conf.int",4941483.24,3287486.75416565,6595479.72583435,0.512
"conf.int",3748364.62,2270238.85266228,5226490.38733772,0.512
"conf.int",3322927.26,2313232.78949633,4332621.73050367,0.512
"conf.int",3670223.48,2512432.71982329,4828014.24017671,0.512
"conf.int",5026161.86,3491466.59963403,6560857.12036597,0.512
"conf.int",2933600.66,1977302.03716658,3889899.28283342,0.512
"conf.int",4696953.64,3422343.84980489,5971563.43019511,0.512
"conf.int",4287052.64,2753312.16593549,5820793.11406451,0.512
"conf.int",5151576.12,3554398.76141785,6748753.47858215,0.512
"conf.int",4776915.14,3285036.76303817,6268793.51696183,0.512
"conf.int",4375802.34,3112440.69143871,5639163.98856128,0.512
"conf.int",4114209.74,2862829.39426964,5365590.08573036,0.512
"conf.int",5231251.7,3630098.65772528,6832404.74227472,0.512
"conf.int",4297730.88,3014746.42597445,5580715.33402555,0.512
"conf.int",3421511.3,2411062.58300444,4431960.01699557,0.512
"conf.int",4413834.5,3032871.27046377,5794797.72953623,0.512
"conf.int",3932054.78,2681495.1227041,5182614.4372959,0.512
"conf.int",4089160.6,2850545.59863938,5327775.60136062,0.512
"conf.int",4336060.14,2930242.53925476,5741877.74074524,0.512
"conf.int",4402754.38,3010235.4189222,5795273.3410778,0.512
"conf.int",5053491.86,3818691.76822381,6288291.95177619,0.512
"conf.int",4559693.08,3026328.26695311,6093057.89304689,0.512
"conf.int",3775716.66,2583837.89350058,4967595.42649942,0.512
"conf.int",3171709.72,2239900.7105148,4103518.7294852,0.512
"conf.int",4434747.34,2898327.23858798,5971167.44141202,0.512
"conf.int",4731915.38,3404626.18958371,6059204.5704163,0.512
"conf.int",3222281.62,2187530.67833973,4257032.56166027,0.512
"conf.int",3439253.96,2236412.43440211,4642095.48559789,0.512
"conf.int",3801756.48,2584194.43396282,5019318.52603718,0.512
"conf.int",3978402.82,2771438.68301771,5185366.95698229,0.512
"conf.int",5137538.54,3671364.93102912,6603712.14897088,0.512
"conf.int",4020520.92,2977086.74154062,5063955.09845938,0.512
"conf.int",5043057.84,3522055.15549732,6564060.52450268,0.512
"conf.int",4565503.42,3024638.75402388,6106368.08597612,0.512
"conf.int",4983241.3,3596488.90759604,6369993.69240396,0.512
"conf.int",5309154.66,3541886.66714809,7076422.65285191,0.512
"conf.int",4495183.72,3292502.60676089,5697864.83323911,0.512
"conf.int",4704092.14,3468476.60194814,5939707.67805186,0.512
"conf.int",4330712.6,2992875.29194975,5668549.90805025,0.512
"conf.int",4263102.12,2942752.1348536,5583452.1051464,0.512
"conf.int",4245468.76,2834779.60227151,5656157.91772848,0.512
"conf.int",4953915.82,3315311.92846011,6592519.71153989,0.512
"conf.int",3437365.26,2377544.9343689,4497185.5856311,0.512
"conf.int",4215194.36,2823376.11663484,5607012.60336516,0.512
"conf.int",4302510.12,2871742.40785783,5733277.83214217,0.512
"conf.int",6334118.34,4408938.64223364,8259298.03776636,0.512
"conf.int",4011283.28,2769627.43384421,5252939.12615578,0.512
"conf.int",3760664.74,2530126.80914555,4991202.67085445,0.512
"conf.int",3921641.96,2540002.20153951,5303281.71846049,0.512
"conf.int",3553168.14,2349201.62563066,4757134.65436934,0.512
"conf.int",4267197.68,2736213.8394149,5798181.5205851,0.512
"conf.int",3824986.38,2596731.90076586,5053240.85923414,0.512
"conf.int",4877879.9,3440761.82730378,6314997.97269623,0.512
"conf.int",3544830.72,2258423.69120826,4831237.74879174,0.512
"conf.int",4332146.96,3147219.19378299,5517074.72621701,0.512
"conf.int",4402647.68,3324120.08944567,5481175.27055433,0.512
"conf.int",4612720.46,3218926.88540839,6006514.03459161,0.512
"conf.int",4761334.76,3183471.85172487,6339197.66827513,0.512
"conf.int",4544246.52,3077023.88627672,6011469.15372328,0.512
"conf.int",4317340.7,2967244.19332987,5667437.20667013,0.512
"conf.int",4245538.54,2765853.14729132,5725223.93270868,0.512
"conf.int",2893777.42,2043577.33962058,3743977.50037942,0.512
