"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",6862586.47,5365697.63323932,8359475.30676068,0.5083
"conf.int",8136742.31,6582913.67094781,9690570.94905219,0.5083
"conf.int",8143346.8,6449440.41285908,9837253.18714092,0.5083
"conf.int",7989779.37,6453110.98038314,9526447.75961686,0.5083
"conf.int",7575682.5,6060556.87878819,9090808.12121181,0.5083
"conf.int",6959512.53,5486155.02702051,8432870.03297949,0.5083
"conf.int",7453824.5,6044037.5330552,8863611.4669448,0.5083
"conf.int",7458546.64,5757011.87257621,9160081.40742379,0.5083
"conf.int",8414380.62,6651311.91231941,10177449.3276806,0.5083
"conf.int",7757566.59,6093627.78164394,9421505.39835606,0.5083
"conf.int",8225370.12,6509866.43417667,9940873.80582333,0.5083
"conf.int",8071536.82,6577011.49278503,9566062.14721497,0.5083
"conf.int",7818864.6,6220829.23201776,9416899.96798224,0.5083
"conf.int",7899768.68,6348218.07059439,9451319.28940561,0.5083
"conf.int",8625160.94,6924509.53334694,10325812.3466531,0.5083
"conf.int",9372862.51,7638670.29212403,11107054.727876,0.5083
"conf.int",8784016.21,7014330.7059148,10553701.7140852,0.5083
"conf.int",7357175.51,5938710.85701456,8775640.16298543,0.5083
"conf.int",8373362.17,6690410.1835388,10056314.1564612,0.5083
"conf.int",8361343.95,6815669.24583274,9907018.65416726,0.5083
"conf.int",8957057.23,7378885.24212846,10535229.2178715,0.5083
"conf.int",8709143.31,7072187.10894575,10346099.5110542,0.5083
"conf.int",7768510.7,6134030.39635741,9402991.00364259,0.5083
"conf.int",8606826.44,6994029.16484876,10219623.7151512,0.5083
"conf.int",6979866.31,5566013.37281773,8393719.24718227,0.5083
"conf.int",8161868.12,6520878.06034575,9802858.17965425,0.5083
"conf.int",8593025.79,6889407.62584629,10296643.9541537,0.5083
"conf.int",6986729.81,5532779.0625645,8440680.5574355,0.5083
"conf.int",8065472.89,6437156.08539192,9693789.69460808,0.5083
"conf.int",9321683.85,7495484.97144341,11147882.7285566,0.5083
"conf.int",6900335.29,5267364.35141323,8533306.22858677,0.5083
"conf.int",7486475.82,5912600.2844184,9060351.3555816,0.5083
"conf.int",9028897.2,7119798.80909099,10937995.590909,0.5083
"conf.int",7060717.72,5574713.78463086,8546721.65536914,0.5083
"conf.int",6945198.48,5646502.80355801,8243894.15644199,0.5083
"conf.int",7589666.4,6001058.30896876,9178274.49103124,0.5083
"conf.int",7321315.49,5862072.7050165,8780558.2749835,0.5083
"conf.int",8222986.93,6493632.86170356,9952340.99829644,0.5083
"conf.int",8248305.79,6771661.51496704,9724950.06503296,0.5083
"conf.int",8461782.93,6816500.20378779,10107065.6562122,0.5083
"conf.int",7988105.99,6260366.17361816,9715845.80638184,0.5083
"conf.int",7162349,5668022.12452791,8656675.87547209,0.5083
"conf.int",7595425.94,5910318.25379048,9280533.62620952,0.5083
"conf.int",6990548.93,5533955.13834127,8447142.72165873,0.5083
"conf.int",8144734.92,6482015.14119027,9807454.69880973,0.5083
"conf.int",7831608.17,6178368.89734091,9484847.44265909,0.5083
"conf.int",9076732.54,7331704.14573046,10821760.9342695,0.5083
"conf.int",9056781.04,7349236.11317549,10764325.9668245,0.5083
"conf.int",7279830.14,5701120.99117721,8858539.28882279,0.5083
"conf.int",7617035.1,6030920.37741067,9203149.82258933,0.5083
"conf.int",7744759.7,6229341.08704861,9260178.31295139,0.5083
"conf.int",8308366.17,6585150.11880841,10031582.2211916,0.5083
"conf.int",8625635.1,6955409.89928092,10295860.3007191,0.5083
"conf.int",7428863.63,5768839.61651501,9088887.64348499,0.5083
"conf.int",7989917.21,6418970.64025692,9560863.77974308,0.5083
"conf.int",6501749.86,5126918.06056513,7876581.65943487,0.5083
"conf.int",7580771.28,5891223.04926657,9270319.51073343,0.5083
"conf.int",7563290.53,6050815.2103389,9075765.8496611,0.5083
"conf.int",6189685.57,4920960.39616784,7458410.74383216,0.5083
"conf.int",8238480.44,6560472.96515455,9916487.91484545,0.5083
"conf.int",7121126.24,5766320.15076994,8475932.32923006,0.5083
"conf.int",7586312.21,6048308.97593177,9124315.44406823,0.5083
"conf.int",7884455.78,6264381.81646723,9504529.74353277,0.5083
"conf.int",6780112.98,5464783.55508153,8095442.40491847,0.5083
"conf.int",7390110.59,5928833.22941347,8851387.95058653,0.5083
"conf.int",7508054.44,5983610.51017234,9032498.36982767,0.5083
"conf.int",7044211.46,5572499.26483852,8515923.65516148,0.5083
"conf.int",8363987.25,6562143.69773825,10165830.8022618,0.5083
"conf.int",7370253.2,5716416.06400551,9024090.33599449,0.5083
"conf.int",7434466.56,5905721.45463466,8963211.66536534,0.5083
"conf.int",8040851.8,6341937.85407356,9739765.74592644,0.5083
"conf.int",7435989.59,6051741.32622587,8820237.85377413,0.5083
"conf.int",5999512.28,4635439.53190064,7363585.02809936,0.5083
"conf.int",7152497.93,5618877.48072304,8686118.37927696,0.5083
"conf.int",9432145.7,7611901.08561321,11252390.3143868,0.5083
"conf.int",6897180.5,5340920.2955322,8453440.7044678,0.5083
"conf.int",7337360.78,5806020.28350902,8868701.27649098,0.5083
"conf.int",7449842.06,5886242.24538142,9013441.87461857,0.5083
"conf.int",8021684.1,6337231.81566804,9706136.38433196,0.5083
"conf.int",8211713.6,6535748.17890724,9887679.02109276,0.5083
"conf.int",7085631.14,5577319.21136918,8593943.06863082,0.5083
"conf.int",7330891.52,5768712.67892111,8893070.36107889,0.5083
"conf.int",7779029.09,6206554.20134101,9351503.97865899,0.5083
"conf.int",7070209.73,5562763.73957385,8577655.72042616,0.5083
"conf.int",8259207.36,6570014.51542543,9948400.20457457,0.5083
"conf.int",9031781.75,7402040.6568867,10661522.8431133,0.5083
"conf.int",7910096.52,6487031.18495206,9333161.85504794,0.5083
"conf.int",7912025.9,6422504.86000769,9401546.93999231,0.5083
"conf.int",7676610.28,6188705.34948793,9164515.21051207,0.5083
"conf.int",7670028.65,6003949.84792605,9336107.45207395,0.5083
"conf.int",7575766.05,6120935.14632884,9030596.95367116,0.5083
"conf.int",8127230.53,6558238.35087084,9696222.70912916,0.5083
"conf.int",8144503.98,6428013.03089938,9860994.92910062,0.5083
"conf.int",6868762.46,5586666.09218038,8150858.82781962,0.5083
"conf.int",7073728.77,5544193.28503588,8603264.25496412,0.5083
"conf.int",7121787.09,5682802.87363468,8560771.30636532,0.5083
"conf.int",7578748.92,6048748.82553211,9108749.01446789,0.5083
"conf.int",8385461.75,6547004.94971409,10223918.5502859,0.5083
"conf.int",6749189.08,5226260.9253866,8272117.2346134,0.5083
"conf.int",8754963.94,7132103.73203053,10377824.1479695,0.5083
"conf.int",8473812.05,6819722.51905233,10127901.5809477,0.5083
"conf.int",8064337.46,6460028.51019122,9668646.40980878,0.5083
"conf.int",7902601.22,6329481.81596259,9475720.62403741,0.5083
"conf.int",7590128.46,6064710.72925666,9115546.19074334,0.5083
"conf.int",6730599.37,5292001.06594763,8169197.67405237,0.5083
"conf.int",7193308.61,5685119.20800277,8701498.01199723,0.5083
"conf.int",7234585.33,5769139.87807622,8700030.78192378,0.5083
"conf.int",7284765.04,5804555.93288135,8764974.14711864,0.5083
"conf.int",7376981.03,5634326.5313565,9119635.5286435,0.5083
"conf.int",7370755.15,5831036.36299307,8910473.93700693,0.5083
"conf.int",7706859.83,6129250.01884255,9284469.64115745,0.5083
"conf.int",8313501.31,6685388.1442808,9941614.4757192,0.5083
"conf.int",7556029.53,5946073.80943395,9165985.25056605,0.5083
"conf.int",8708380.15,6926828.54100852,10489931.7589915,0.5083
"conf.int",8638274.79,6931069.44755718,10345480.1324428,0.5083
"conf.int",8155787.96,6435019.30280904,9876556.61719096,0.5083
"conf.int",7492536.64,6015970.31711789,8969102.96288211,0.5083
"conf.int",6582511.3,5195899.09260901,7969123.50739099,0.5083
"conf.int",8153239.01,6430186.85937256,9876291.16062744,0.5083
"conf.int",6876635.63,5487296.2670932,8265974.9929068,0.5083
"conf.int",7714113.59,6203602.50804947,9224624.67195053,0.5083
"conf.int",7769302.36,6142155.40720387,9396449.31279613,0.5083
"conf.int",8039772.03,6213311.76560698,9866232.29439302,0.5083
"conf.int",8382077.47,6676533.05513228,10087621.8848677,0.5083
"conf.int",7927608.74,6328275.43072858,9526942.04927143,0.5083
"conf.int",6536692.59,5179144.6492544,7894240.5307456,0.5083
"conf.int",7232404.11,5809196.49136846,8655611.72863154,0.5083
"conf.int",6415419.62,5029906.44706303,7800932.79293697,0.5083
"conf.int",8488187.9,6843474.58466488,10132901.2153351,0.5083
"conf.int",8673971.65,7083695.81271164,10264247.4872884,0.5083
"conf.int",8113450.13,6400922.35673809,9825977.90326191,0.5083
"conf.int",6840268.81,5521593.99536806,8158943.62463194,0.5083
"conf.int",6928970.99,5547441.17013906,8310500.80986094,0.5083
"conf.int",7400385.98,5924083.54846353,8876688.41153647,0.5083
"conf.int",7939451.88,6284351.35010202,9594552.40989798,0.5083
"conf.int",7147264.12,5565663.48228217,8728864.75771782,0.5083
"conf.int",8735565.95,7027370.19792881,10443761.7020712,0.5083
"conf.int",7187700.34,5612757.49419152,8762643.18580847,0.5083
"conf.int",8315489.58,6620257.00593602,10010722.154064,0.5083
"conf.int",7703303.11,6202296.63939118,9204309.58060882,0.5083
"conf.int",8095044.91,6543733.85015163,9646355.96984837,0.5083
"conf.int",6760015.13,5406853.04415467,8113177.21584533,0.5083
"conf.int",6660724.66,5308799.95593984,8012649.36406016,0.5083
"conf.int",7674198.75,6013084.14042503,9335313.35957497,0.5083
"conf.int",8351140.76,6777068.24553648,9925213.27446352,0.5083
"conf.int",7710176.34,6056268.37382289,9364084.30617711,0.5083
"conf.int",8795965.42,7021831.6065367,10570099.2334633,0.5083
"conf.int",7069787.78,5720922.7845351,8418652.7754649,0.5083
"conf.int",8636912.96,6754623.22332288,10519202.6966771,0.5083
"conf.int",7023381.4,5502669.45423775,8544093.34576225,0.5083
"conf.int",7490693.1,5895101.07886409,9086285.12113591,0.5083
"conf.int",9414884.34,7572446.64927202,11257322.030728,0.5083
"conf.int",7459441.37,5955452.63552136,8963430.10447864,0.5083
"conf.int",7769669.63,6099302.37770038,9440036.88229962,0.5083
"conf.int",7755287.12,6286003.85455242,9224570.38544758,0.5083
"conf.int",6356327.35,5063678.65708482,7648976.04291518,0.5083
"conf.int",6851796.99,5469973.023081,8233620.956919,0.5083
"conf.int",7868941.32,6334052.94618574,9403829.69381426,0.5083
"conf.int",7481901.84,5830663.03184795,9133140.64815205,0.5083
"conf.int",7210016.66,5619755.79989046,8800277.52010954,0.5083
"conf.int",7412076.56,6002465.61109473,8821687.50890527,0.5083
"conf.int",7945025.73,6220219.53642615,9669831.92357385,0.5083
"conf.int",8180965.16,6498779.71734469,9863150.6026553,0.5083
"conf.int",7373978.58,5901930.8789893,8846026.2810107,0.5083
"conf.int",8816315.86,7169186.32688844,10463445.3931116,0.5083
"conf.int",7803152.4,6342324.92354675,9263979.87645325,0.5083
"conf.int",7439589.04,5924041.18843953,8955136.89156047,0.5083
"conf.int",7351591.24,5891137.94560117,8812044.53439883,0.5083
"conf.int",7188652.87,5804745.98810094,8572559.75189907,0.5083
"conf.int",7952562.48,6364165.59721034,9540959.36278966,0.5083
"conf.int",7203300.78,5692978.0052535,8713623.5547465,0.5083
"conf.int",7066060.91,5578451.27606184,8553670.54393816,0.5083
"conf.int",7720868.65,6167711.9721157,9274025.3278843,0.5083
"conf.int",7791127.7,6137816.23721809,9444439.16278191,0.5083
"conf.int",7721001.33,6073788.5450333,9368214.11496669,0.5083
"conf.int",7986115.56,6266051.58615396,9706179.53384604,0.5083
"conf.int",7903285.79,6448387.87526021,9358183.70473979,0.5083
"conf.int",7089572.78,5753530.71438609,8425614.84561391,0.5083
"conf.int",7764998.04,6109707.98780924,9420288.09219076,0.5083
"conf.int",6761815.35,5363994.4275372,8159636.2724628,0.5083
"conf.int",7647307.75,6008478.76225148,9286136.73774852,0.5083
"conf.int",7322891.76,5781165.82190531,8864617.69809469,0.5083
"conf.int",8172546.73,6649622.78425611,9695470.67574389,0.5083
"conf.int",8181696.41,6654470.55231684,9708922.26768316,0.5083
"conf.int",7372882.19,5854139.32195657,8891625.05804343,0.5083
"conf.int",9153405.71,7305775.07176263,11001036.3482374,0.5083
"conf.int",8190537.83,6657314.59756827,9723761.06243173,0.5083
"conf.int",6223360.76,5042045.19251375,7404676.32748625,0.5083
"conf.int",7558816.13,6015752.82064023,9101879.43935977,0.5083
"conf.int",8196876.77,6722079.73960158,9671673.80039842,0.5083
"conf.int",8077090.99,6421241.62048651,9732940.35951349,0.5083
"conf.int",8681981.88,6875054.66435679,10488909.0956432,0.5083
"conf.int",8387870.21,6729844.50432645,10045895.9156735,0.5083
"conf.int",8123501.29,6513940.65520339,9733061.92479661,0.5083
"conf.int",8464864.94,6715647.4713325,10214082.4086675,0.5083
"conf.int",7464472.24,5873300.42459453,9055644.05540547,0.5083
"conf.int",7368274.62,5854046.75096987,8882502.48903013,0.5083
"conf.int",8247403.12,6474079.10179327,10020727.1382067,0.5083
"conf.int",7956754.87,6287613.63864086,9625896.10135914,0.5083
"conf.int",7958595.5,6318828.25362842,9598362.74637158,0.5083
"conf.int",8080617.06,6342675.80378391,9818558.31621609,0.5083
"conf.int",8376537.68,6670728.14791846,10082347.2120815,0.5083
"conf.int",8132310.06,6544837.28457065,9719782.83542935,0.5083
"conf.int",7984163.42,6320603.50105989,9647723.33894011,0.5083
"conf.int",8503383.98,6763710.02383724,10243057.9361628,0.5083
"conf.int",7784173.98,6138583.66008403,9429764.29991597,0.5083
"conf.int",7393648.74,5807764.67024471,8979532.80975529,0.5083
"conf.int",6704788.88,5214207.43341367,8195370.32658633,0.5083
"conf.int",6608353.8,5198365.45590892,8018342.14409108,0.5083
"conf.int",6651745.26,5204509.8140079,8098980.7059921,0.5083
"conf.int",7408336.83,5834760.9526696,8981912.7073304,0.5083
"conf.int",7534203.09,5842157.69605107,9226248.48394893,0.5083
"conf.int",8325316.76,6736697.92239839,9913935.5976016,0.5083
"conf.int",8069096.2,6472761.54109516,9665430.85890484,0.5083
"conf.int",8745033.84,7033993.16036461,10456074.5196354,0.5083
"conf.int",7110632.73,5690381.34381445,8530884.11618555,0.5083
"conf.int",7775323.16,6185805.46972245,9364840.85027754,0.5083
"conf.int",6662644.62,5304732.17997385,8020557.06002615,0.5083
"conf.int",7531976.03,6086210.05380944,8977742.00619056,0.5083
"conf.int",6968341.72,5570759.7556126,8365923.6843874,0.5083
"conf.int",7699968.28,6268935.68321102,9131000.87678898,0.5083
"conf.int",7767460.27,6152001.37626058,9382919.16373942,0.5083
"conf.int",8090682.48,6534917.14295854,9646447.81704146,0.5083
"conf.int",7459700.27,5889058.85567994,9030341.68432005,0.5083
"conf.int",7652220.49,6115867.83830043,9188573.14169957,0.5083
"conf.int",7531735.26,5868742.65210573,9194727.86789428,0.5083
"conf.int",8714764.34,7029528.39000923,10400000.2899908,0.5083
"conf.int",8771684.66,7204828.27056428,10338541.0494357,0.5083
"conf.int",7249667.8,5698932.67987704,8800402.92012296,0.5083
"conf.int",8214093.43,6441819.02116457,9986367.83883543,0.5083
"conf.int",8552200.93,6872469.25862003,10231932.60138,0.5083
"conf.int",7663629.53,6119790.51380451,9207468.54619548,0.5083
"conf.int",8251050.98,6499151.72704153,10002950.2329585,0.5083
"conf.int",7908532.93,6118776.7916976,9698289.0683024,0.5083
"conf.int",7606848.1,5905213.90177181,9308482.29822819,0.5083
"conf.int",7198273.08,5740969.59324745,8655576.56675255,0.5083
"conf.int",7600355.58,5870305.71293444,9330405.44706556,0.5083
"conf.int",7965970.28,6431033.3396605,9500907.2203395,0.5083
"conf.int",8281330.31,6671453.78468823,9891206.83531176,0.5083
"conf.int",7546496.16,6058198.48964005,9034793.83035995,0.5083
"conf.int",6597016.84,5171063.11189333,8022970.56810667,0.5083
"conf.int",8521158.67,6782094.80924856,10260222.5307514,0.5083
