"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",7549777.585,6511123.16610904,8588432.00389096,0.5024
"conf.int",7909781.005,6758920.12172286,9060641.88827714,0.5024
"conf.int",7916695.345,6802255.25644808,9031135.43355192,0.5024
"conf.int",7674347.45,6511732.03827728,8836962.86172272,0.5024
"conf.int",8448500.76,7260337.60475149,9636663.91524851,0.5024
"conf.int",8308790.17,7150715.92809589,9466864.41190411,0.5024
"conf.int",8719777.305,7522382.68679537,9917171.92320463,0.5024
"conf.int",7618002.685,6519615.81515833,8716389.55484167,0.5024
"conf.int",8248968.91,7175243.54264919,9322694.27735081,0.5024
"conf.int",8320562.32,7142819.54657604,9498305.09342396,0.5024
"conf.int",8440350.91,7282734.4111405,9597967.4088595,0.5024
"conf.int",7881961.795,6754115.82494058,9009807.76505942,0.5024
"conf.int",7952890.27,6794284.18697889,9111496.35302111,0.5024
"conf.int",7416143.345,6314424.1110287,8517862.5789713,0.5024
"conf.int",8257538.55,7080169.84394888,9434907.25605112,0.5024
"conf.int",7541201.51,6446162.10264769,8636240.91735231,0.5024
"conf.int",7796350.76,6723424.53623862,8869276.98376139,0.5024
"conf.int",8193169.41,7028742.83245942,9357595.98754058,0.5024
"conf.int",7231413.27,6101449.48766277,8361377.05233723,0.5024
"conf.int",7496467.29,6396880.08646676,8596054.49353324,0.5024
"conf.int",8714358.265,7529126.27468924,9899590.25531076,0.5024
"conf.int",8153882.615,6965568.27754761,9342196.95245239,0.5024
"conf.int",8323118.395,7147486.49262219,9498750.29737781,0.5024
"conf.int",7572957.96,6474665.18296683,8671250.73703317,0.5024
"conf.int",7676586.92,6521685.6468599,8831488.1931401,0.5024
"conf.int",7634709.155,6619330.42329809,8650087.88670191,0.5024
"conf.int",7916562.265,6767527.59350338,9065596.93649662,0.5024
"conf.int",7087533.155,6034541.99444853,8140524.31555147,0.5024
"conf.int",7746881.28,6690648.5430682,8803114.0169318,0.5024
"conf.int",7838231.19,6701638.59783654,8974823.78216346,0.5024
"conf.int",7142220.02,6021283.3908724,8263156.6491276,0.5024
"conf.int",7578565.495,6451242.57427561,8705888.41572439,0.5024
"conf.int",7742401.005,6633223.32834657,8851578.68165343,0.5024
"conf.int",7484371.04,6381538.64150503,8587203.43849497,0.5024
"conf.int",8050825.61,6896854.57639593,9204796.64360407,0.5024
"conf.int",7550849.955,6430597.44210382,8671102.46789618,0.5024
"conf.int",8175079.4,7026952.87820729,9323205.92179271,0.5024
"conf.int",7975351.315,6817740.93379829,9132961.69620171,0.5024
"conf.int",7832090.805,6802937.06267772,8861244.54732228,0.5024
"conf.int",7390638.39,6267858.47145663,8513418.30854337,0.5024
"conf.int",8690871.495,7538764.66824364,9842978.32175636,0.5024
"conf.int",7329654.01,6255747.7972537,8403560.2227463,0.5024
"conf.int",7678433.365,6548560.2060995,8808306.5239005,0.5024
"conf.int",7029033.905,5986838.05017128,8071229.75982872,0.5024
"conf.int",8652188.505,7466153.46521957,9838223.54478043,0.5024
"conf.int",7989269.76,6868209.72254198,9110329.79745802,0.5024
"conf.int",7596895.87,6486080.35365156,8707711.38634844,0.5024
"conf.int",8059734.415,6900197.50577054,9219271.32422946,0.5024
"conf.int",8426091.06,7199694.99759755,9652487.12240245,0.5024
"conf.int",7383823.935,6308776.4902375,8458871.3797625,0.5024
"conf.int",7447515.37,6336682.1825014,8558348.5574986,0.5024
"conf.int",7759195.91,6608463.80713158,8909928.01286842,0.5024
"conf.int",7809012.485,6647305.09129594,8970719.87870406,0.5024
"conf.int",7347808.82,6258830.51821713,8436787.12178287,0.5024
"conf.int",7567662.605,6433583.35635107,8701741.85364893,0.5024
"conf.int",7961174.515,6830746.4441404,9091602.5858596,0.5024
"conf.int",7191634.01,6165443.39211826,8217824.62788174,0.5024
"conf.int",8558699.665,7410690.93163216,9706708.39836784,0.5024
"conf.int",7360166.705,6303742.87104449,8416590.53895551,0.5024
"conf.int",7628968.115,6547581.87765786,8710354.35234215,0.5024
"conf.int",7774925.705,6644103.70370433,8905747.70629567,0.5024
"conf.int",7899898.82,6795767.60466545,9004030.03533455,0.5024
"conf.int",8062931.155,6882696.44437512,9243165.86562488,0.5024
"conf.int",7189977.075,6147253.83160765,8232700.31839235,0.5024
"conf.int",8228721.695,7080639.16638079,9376804.22361921,0.5024
"conf.int",8038729.725,6898680.84307626,9178778.60692374,0.5024
"conf.int",7919097.185,6762904.78958345,9075289.58041655,0.5024
"conf.int",7961400.115,6821475.27707344,9101324.95292656,0.5024
"conf.int",7712923.13,6545506.11992752,8880340.14007248,0.5024
"conf.int",7175518.315,6190527.37973767,8160509.25026233,0.5024
"conf.int",7608541.41,6496457.26267847,8720625.55732153,0.5024
"conf.int",7482320.195,6415315.29790855,8549325.09209145,0.5024
"conf.int",7739363.625,6651795.1748026,8826932.07519739,0.5024
"conf.int",7653039.335,6561577.5530566,8744501.1169434,0.5024
"conf.int",7200065.975,6148688.48111452,8251443.46888548,0.5024
"conf.int",8034183.43,6952558.64602318,9115808.21397682,0.5024
"conf.int",7603508.89,6469312.28320453,8737705.49679547,0.5024
"conf.int",7441115.275,6374175.99124487,8508054.55875514,0.5024
"conf.int",7482647.515,6409108.50468714,8556186.52531286,0.5024
"conf.int",7487741.385,6394483.59755963,8580999.17244038,0.5024
"conf.int",8196977.715,7030147.231242,9363808.198758,0.5024
"conf.int",8178549.985,7091088.68173887,9266011.28826113,0.5024
"conf.int",7761002.29,6652651.70553639,8869352.87446361,0.5024
"conf.int",7749484.585,6661518.49747944,8837450.67252056,0.5024
"conf.int",8258987.985,7125096.11895957,9392879.85104043,0.5024
"conf.int",8217558.915,7059543.76857937,9375574.06142063,0.5024
"conf.int",8215371.095,7054537.55669546,9376204.63330454,0.5024
"conf.int",7503593.22,6418534.61864085,8588651.82135914,0.5024
"conf.int",7864816.57,6697613.09817787,9032020.04182213,0.5024
"conf.int",7666256.505,6494005.48448138,8838507.52551862,0.5024
"conf.int",7902824.735,6747407.11725359,9058242.35274641,0.5024
"conf.int",8275682.345,7123312.53664737,9428052.15335263,0.5024
"conf.int",7588320.22,6529789.59699431,8646850.84300569,0.5024
"conf.int",6494606.07,5493294.37971467,7495917.76028533,0.5024
"conf.int",7950911.8,6845286.51813434,9056537.08186566,0.5024
"conf.int",8300266.87,7164537.05815936,9435996.68184064,0.5024
"conf.int",8232273.46,7027066.68500596,9437480.23499404,0.5024
"conf.int",7120407.44,6015727.21483271,8225087.66516729,0.5024
"conf.int",7657823.17,6550215.40770031,8765430.93229969,0.5024
"conf.int",8033323.315,6931020.27999918,9135626.35000082,0.5024
