"","mean","lower_bound","upper_bound","left_tail_percentage"
"conf.int",3823486.18666667,2760477.23763219,4886495.13570114,0.5023
"conf.int",4713178.53333333,3475949.84122467,5950407.225442,0.5023
"conf.int",3442119.38666667,2573923.8768823,4310314.89645103,0.5023
"conf.int",4443726.26666667,3409498.78503801,5477953.74829532,0.5023
"conf.int",4421052.45333333,3153959.46692169,5688145.43974497,0.5023
"conf.int",3543344.61333333,2698772.88458275,4387916.34208391,0.5023
"conf.int",3634763.81333333,2539184.85952013,4730342.76714654,0.5023
"conf.int",4069737.45333333,2971440.75480874,5168034.15185792,0.5023
"conf.int",4212819.46666667,3224452.25462415,5201186.67870918,0.5023
"conf.int",4050208.22666667,3018528.80795366,5081887.64537967,0.5023
"conf.int",4561349.74666667,3324924.30887192,5797775.18446142,0.5023
"conf.int",4249745.26666667,3118358.19049717,5381132.34283616,0.5023
"conf.int",4071480.04,2995442.36253877,5147517.71746123,0.5023
"conf.int",4688272.90666667,3537427.25221463,5839118.56111871,0.5023
"conf.int",4358795.14666667,3313629.03876302,5403961.25457031,0.5023
"conf.int",3740634.08,2818211.56624728,4663056.59375272,0.5023
"conf.int",5115384.38666667,3854588.48479787,6376180.28853547,0.5023
"conf.int",3325709.25333333,2223539.83279864,4427878.67386803,0.5023
"conf.int",5529173.88,4093064.11844973,6965283.64155027,0.5023
"conf.int",4665796.81333333,3421516.6849694,5910076.94169727,0.5023
"conf.int",5056877.12,3896448.80666425,6217305.43333575,0.5023
"conf.int",4773139.38666667,3681221.04982229,5865057.72351104,0.5023
"conf.int",4619655.36,3404903.09021983,5834407.62978017,0.5023
"conf.int",4963982.70666667,3604103.91996799,6323861.49336535,0.5023
"conf.int",3664979.58666667,2545377.5621895,4784581.61114384,0.5023
"conf.int",4672769.56,3502616.20401865,5842922.91598135,0.5023
"conf.int",4733985.12,3492548.47506942,5975421.76493058,0.5023
"conf.int",3771269.08,2770112.56955251,4772425.59044749,0.5023
"conf.int",4412773.41333333,3262517.72629301,5563029.10037366,0.5023
"conf.int",4448234.22666667,3154099.08257648,5742369.37075685,0.5023
"conf.int",4496305.26666667,3252806.8912479,5739803.64208543,0.5023
"conf.int",4202609.28,2987720.98175373,5417497.57824627,0.5023
"conf.int",4287739.26666667,3176265.09150876,5399213.44182457,0.5023
"conf.int",3800499.96,2752025.69215095,4848974.22784905,0.5023
"conf.int",3891208.50666667,2954092.34783301,4828324.66550033,0.5023
"conf.int",4746719.57333333,3528731.16162338,5964707.98504329,0.5023
"conf.int",4198707.12,3070672.9504221,5326741.2895779,0.5023
"conf.int",4302114.17333333,3160360.9077593,5443867.43890737,0.5023
"conf.int",4021150.46666667,2989179.60611865,5053121.32721469,0.5023
"conf.int",5020267.48,3833361.08711242,6207173.87288759,0.5023
"conf.int",4197503.36,3153956.57245163,5241050.14754837,0.5023
"conf.int",5112488.36,3753322.1960193,6471654.5239807,0.5023
"conf.int",4408774.2,3396020.20029789,5421528.19970212,0.5023
"conf.int",5939278.74666667,4468850.10900718,7409707.38432616,0.5023
"conf.int",4869801.66666667,3568649.21669491,6170954.11663842,0.5023
"conf.int",4276149.49333333,3119866.92887135,5432432.05779532,0.5023
"conf.int",4053807.82666667,2983160.77607591,5124454.87725742,0.5023
"conf.int",3414702,2326520.25255738,4502883.74744262,0.5023
"conf.int",2998204.37333333,2296242.87254277,3700165.8741239,0.5023
"conf.int",3392539.42666667,2435583.59082843,4349495.26250491,0.5023
